#28934929-V-2019061208-T-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-evqderky67qhv5y9t;T;;28934929-;;;;;ďpóck5jaóveógv2ďhpvďjógčíěaúčq4ylbb7vfěc0jť;;8,36;;USD;28934929-;28934929-
28934929-w0dsp3be7;T;e;28934929-;;1990-11-25T00:49:38.6+01:00;1,77;2020-11-03T09:48:35.6+01:00;ú2cx8majtoďysů5;;;2003-03-18T10:16:15.6+01:00;;28934929-;28934929-
28934929-0tiaqwn550vriqp63lq;T;;28934929-;6,79;2013-06-13T13:02:18.6+02:00;;;á5déa74xssvn9ťěyyočětbsřůěkdlc;;;;;28934929-;28934929-
28934929-;T;;28934929-6vsr2aw9m67jnsfmnuubq;;;11,55;;ť7š;4,17;0,96;;;28934929-;28934929-q1p0q7h
28934929-;T;;28934929-jxevq2diju;17,44;;;;;;;;;28934929-fd4gqd;28934929-
28934929-;T;;28934929-;10,27;2015-05-10T15:12:05.6+02:00;;2016-09-25T19:20:14.6+02:00;7šišťfd;;10,61;;MXN;28934929-;28934929-ucyg5i4bqgrba0
28934929-;T;g;28934929-;7,53;2008-11-14T13:03:18.6+01:00;;;;;;;USD;28934929-ybbx6olbbocvsxy0nxstk;28934929-
28934929-c3s;T;;28934929-;;1996-07-11T15:32:28.6+02:00;;;;7,06;;2021-05-30T20:51:29.6+02:00;GQE;28934929-;28934929-
28934929-;T;;28934929-;;;;;sóď9yjkem4ema;;18,54;2021-05-21T20:19:21.6+02:00;;28934929-;28934929-
28934929-;T;;28934929-;;2008-01-10T13:09:41.6+01:00;;;omkft;11,42;;;;28934929-;28934929-
28934929-;T;;28934929-3wun05bw;;2017-12-14T17:49:35.6+01:00;4,87;2011-08-01T20:09:32.6+02:00;;;0,06;1999-01-11T07:10:37.6+01:00;;28934929-;28934929-
28934929-;T;;28934929-;;;;2019-06-22T07:38:07.6+02:00;uqěcwbjpqí;;3,41;2002-03-30T20:29:59.6+01:00;;28934929-pjq3nyufk2;28934929-l694giscv
28934929-fsg;T;;28934929-;;2014-05-29T04:39:17.6+02:00;3,15;;;;;;USD;28934929-7cjpgrjve9w984yitricv;28934929-svdv1halbvhf7
28934929-;T;;28934929-;8,96;;;;;10,11;;;;28934929-2fju;28934929-
28934929-;T;;28934929-wc0s55i;16,57;;;2018-11-02T12:17:28.6+01:00;opv82d3í4át70téq9ůatóó7č2syuůví8oq8guš6l;;15,43;;XCD;28934929-wjcc9l45pkp9ic16;28934929-
28934929-fo1tqrwcschr88b;T;e;28934929-;;;4,26;;;13,29;16,46;1998-09-09T23:19:32.6+02:00;;28934929-;28934929-
28934929-;T;;28934929-ib04;;;;;;5,55;;;MAD;28934929-6qwkxfunxua8;28934929-
28934929-;T;;28934929-;;;14,28;;;0,47;;2009-01-10T17:14:33.6+01:00;;28934929-c17v8dl;28934929-7liio0g8edyag9ygobt09i
28934929-;T;;28934929-;9,84;;2,40;;j6oďyďnyótwptwďlyó;;;;BGK;28934929-;28934929-e55n4n8kqfxrbeja9v7pq
28934929-;T;a;28934929-;;;0,93;;;3,95;;;;28934929-;28934929-
28934929-;T;;28934929-;13,20;2012-03-12T01:29:34.6+01:00;;2015-03-21T12:58:05.6+01:00;;;;;;28934929-ku8h2kwx83670pnbdyg;28934929-rba
28934929-;T;;28934929-;17,40;;;;1čblifisgšďrtj0q8sůó9;;;;;28934929-;28934929-
28934929-o39e2xwwsi97o0pgec7n;T;a;28934929-;;2000-08-03T05:02:07.6+02:00;;;;;;;;28934929-;28934929-
28934929-;T;;28934929-r82nb2w74;12,44;2005-12-01T01:18:47.6+01:00;16,53;;;;;2014-04-28T15:21:09.6+02:00;;28934929-ta8yt6s4ypy1v;28934929-
28934929-;T;;28934929-5lpgi8e837rfyq8v5qsac;;;15,09;;;;;;MLF;28934929-;28934929-
28934929-;T;j;28934929-;8,30;;;;;;;;;28934929-gopj;28934929-skj2iowu68prcwl5q
28934929-;T;h;28934929-;3,42;;;;yehjrvč7mť7xýqu5br0úůwšúéďloáúqšeé1bťsťeúřů3dt7ůi1ú5;;;;USD;28934929-;28934929-
28934929-;T;;28934929-;;2021-08-07T16:25:06.6+02:00;;;;;1,46;;JOD;28934929-e5xc4qbylyn8s;28934929-
28934929-l8yh9gci4ugkvt;T;d;28934929-0e8uwlsj7bkxf8o4j6f;8,02;;;;;12,54;6,46;;EUR;28934929-;28934929-
28934929-v4i2g8okkrl6vtyq511;T;e;28934929-hwgv9ty;;;;1997-03-26T12:15:18.6+01:00;;;;;;28934929-;28934929-otw1ybq07rop
28934929-;T;;28934929-;;;;;;;19,00;2008-05-04T08:14:41.6+02:00;ZRN;28934929-;28934929-vkbepaca
28934929-;T;;28934929-ourdhxvvpr84pli8r;;;;1997-04-11T21:05:04.6+02:00;r7řkčxďk3i9qě;;;;;28934929-;28934929-fprqas7u2gno18a7xah5
28934929-;T;;28934929-xyh8;;2007-12-18T01:09:14.6+01:00;10,78;;;5,17;6,83;;;28934929-;28934929-
28934929-shdh;T;;28934929-;13,54;;17,15;1997-01-07T05:41:55.6+01:00;;2,54;9,59;;;28934929-;28934929-
28934929-0g479uv8ekbyhd;T;;28934929-;18,81;;;2000-09-19T21:48:39.6+02:00;;;5,86;;MAD;28934929-73ewl8fywc0vlfcc;28934929-
28934929-xfg39wniv9fuvumhccig;T;c;28934929-;1,29;;;2011-12-13T14:52:37.6+01:00;;;17,07;1996-09-02T15:26:07.6+02:00;ESA;28934929-;28934929-dd7n
28934929-;T;;28934929-;;;;2008-08-26T13:06:17.6+02:00;;;;1991-05-21T09:27:00.6+02:00;;28934929-;28934929-
28934929-;T;;28934929-yrq8o9tqiyya6ea6m4gtj;;;;;;;;;;28934929-;28934929-
28934929-o60357hoi7tjhy;T;g;28934929-;;;;;ůs9e4ulyblcuá7;;;;;28934929-;28934929-
28934929-;T;;28934929-1deb3a3ab0keyvc;;2001-03-21T20:03:08.6+01:00;;;ů0ď;6,42;;;;28934929-;28934929-
28934929-75f;T;;28934929-;6,85;;;;;;4,27;;;28934929-;28934929-wm4t033jht
28934929-enp36tbpsbspm82lj;T;;28934929-irtlhy0lceb305jc;;2000-03-27T05:44:20.6+02:00;;2011-10-30T11:11:38.6+01:00;3ě9óéypťlveů37e68č15dmk873pťťm8;;;2010-07-09T00:47:25.6+02:00;VUV;28934929-;28934929-wd2n37nrfqljkje6hu
28934929-xl0161rilr;T;;28934929-;;;;;wp45áuý5ksymo;;12,54;2009-01-09T00:07:01.6+01:00;;28934929-uoq4b23xb7cn81x;28934929-
28934929-;T;i;28934929-;;;;;;;15,53;2008-10-13T09:14:50.6+02:00;SZL;28934929-gc9efj42;28934929-jl962qxl0r6e11t
28934929-;T;;28934929-;;;;2017-07-27T20:16:58.6+02:00;čfěré;;;;;28934929-qrtoaqamms2d1i;28934929-
28934929-;T;;28934929-;;;2,83;;;;;1993-11-14T15:30:20.6+01:00;XCD;28934929-;28934929-
28934929-mkuu;T;;28934929-;18,31;;;;;;2,29;;BRE;28934929-;28934929-
28934929-;T;h;28934929-;;;;;;;15,09;;;28934929-;28934929-
28934929-;T;;28934929-;;;;;jqpibkršcgén9ojk7ďuvlú4513mjťó1o2ia1ůe08gócdé2;;;;PEN;28934929-;28934929-
28934929-;T;;28934929-;17,13;;4,11;;;;;;;28934929-;28934929-
28934929-;T;;28934929-;;;;;;;;;;28934929-;28934929-f0ge84f43niwm6njt49m
28934929-;T;j;28934929-;11,20;;;;nlemmcšgwlv7ťolýřhde84čášbydój;;;2002-03-18T22:10:31.6+01:00;EUR;28934929-;28934929-
28934929-;T;d;28934929-wavt;15,74;1999-04-17T15:14:20.6+02:00;15,84;;;;15,21;;;28934929-;28934929-amgbw
28934929-0bsj78u2kbgic9;T;;28934929-41wx7pb5m;;;;;xj425édťiéej91jíósik7íééýcífď;3,20;1,66;;;28934929-;28934929-
28934929-0gb7h;T;f;28934929-734pidyxfw1dqmd;16,61;1997-08-19T20:11:46.6+02:00;13,63;2020-01-04T13:59:06.6+01:00;;;;;;28934929-;28934929-0x7dgino5793a6xr2kf
28934929-vj5uhel2kn7hu;T;;28934929-;8,47;1996-11-02T05:21:35.6+01:00;17,71;;;12,49;;2006-04-20T19:28:53.6+02:00;;28934929-;28934929-
28934929-rh04u7;T;;28934929-j041vjxit60g4qxfens;16,13;;;1993-01-25T09:33:20.6+01:00;;;;;KPW;28934929-;28934929-
28934929-;T;b;28934929-iu0c2o566;16,30;2000-07-23T07:59:45.6+02:00;;2016-06-16T19:18:17.6+02:00;;;;2000-08-25T15:53:28.6+02:00;;28934929-ot9mxp3j1svjcvf5tjlqh;28934929-0bcvjx81xv3tanjqtfby
28934929-;T;;28934929-70xtgvgw;;;;;;;;1992-10-21T09:31:59.6+01:00;KES;28934929-o0f5xpt;28934929-
28934929-;T;b;28934929-fnjw7oigwvqidij9pp;;2017-01-02T09:19:04.6+01:00;;;mywuiurúljůaúúábťgeůůiťxl0oru;10,19;1,46;;;28934929-;28934929-
28934929-;T;;28934929-;;;;2011-02-25T07:14:38.6+01:00;;;;;;28934929-;28934929-iffi59ufk07jlfnvu8ny
28934929-0rqjf97r2di2;T;j;28934929-;4,84;2015-10-13T13:10:57.6+02:00;;1998-11-04T17:51:29.6+01:00;;;4,42;;;28934929-;28934929-
28934929-;T;;28934929-;;;;2010-01-14T08:23:46.6+01:00;;6,01;;;;28934929-;28934929-
28934929-;T;;28934929-w5n;;;12,43;;ó5k8akeá;19,52;;;TRY;28934929-;28934929-
28934929-;T;i;28934929-;;;0,18;2018-12-28T17:11:50.6+01:00;;10,36;;;;28934929-;28934929-
28934929-3yp;T;b;28934929-;;;;;;;4,08;;JOD;28934929-;28934929-
28934929-khcd5mymxiy;T;b;28934929-psre3fejb008tq;;;;;;;8,53;2008-12-08T07:26:31.6+01:00;;28934929-;28934929-6l7gaw87w10gt99
28934929-;T;;28934929-;;;1,36;2019-09-19T05:04:06.6+02:00;;;;;IDR;28934929-;28934929-mir51vt716rx4oy1g1
28934929-;T;;28934929-;;;1,96;;;12,17;2,00;2012-12-29T23:14:42.6+01:00;FRF;28934929-;28934929-
28934929-;T;b;28934929-;;;1,35;1994-01-18T10:38:12.6+01:00;;;1,01;;;28934929-dgjv3st;28934929-ldynx66eiu76kfo74mcbyr
28934929-tfksf8osk7o3ws;T;;28934929-;11,38;;6,14;;;17,07;;;;28934929-;28934929-
28934929-;T;a;28934929-1ra5bm4;;2004-12-31T02:27:25.6+01:00;16,41;;;;10,30;;;28934929-;28934929-5vtpcxjcauke26
28934929-;T;;28934929-;;;;;;;;;;28934929-hidvsbh;28934929-
28934929-fdotbm7mt900cpnn5yxr;T;;28934929-;;;;;;15,42;;;LUC;28934929-;28934929-
28934929-;T;;28934929-ww89ewcpkyak48ilwwqeb;;;;;5éyoccúrcw81iyvkťeúyuqqvččóbř;;;;KGS;28934929-;28934929-
28934929-;T;;28934929-;;2016-05-02T20:41:24.6+02:00;7,96;1998-11-09T04:56:20.6+01:00;cí95e45čxkůhjkx9ď3;;;;LUF;28934929-hnfn;28934929-j3iw0xie7u33wk
28934929-;T;;28934929-;;;;;0pyhpt1oýčč2vé;;;1999-05-27T00:00:15.6+02:00;;28934929-yy18ehxe1tyiw2fwnu;28934929-
28934929-;T;;28934929-;;;11,95;2020-07-27T13:24:39.6+02:00;;;1,62;;;28934929-;28934929-
28934929-e4vqmnr9b24kfhsw;T;h;28934929-;14,39;;;;;;;1993-01-06T03:43:00.6+01:00;;28934929-;28934929-
28934929-;T;j;28934929-;8,79;;17,22;1994-01-03T16:44:29.6+01:00;;13,49;4,96;;;28934929-;28934929-
28934929-;T;;28934929-eqvlc42w42;0,31;1990-04-08T10:02:43.6+02:00;;2021-01-03T10:59:22.6+01:00;;12,68;;;;28934929-;28934929-
28934929-kd6i;T;;28934929-;;;3,65;;a7gx29hi9éťpúó6cěáý;8,93;;;;28934929-;28934929-
28934929-4t05b4g1cxe5kn2mitmu;T;g;28934929-;10,70;2003-05-13T12:24:00.6+02:00;3,46;;;;;1995-09-11T05:29:31.6+02:00;;28934929-wqnbl2eftl;28934929-
28934929-bjbysnurapy7qgvw74v;T;;28934929-;3,63;;;;xbwqáó4rúlkř;4,33;;;USD;28934929-;28934929-
28934929-;T;e;28934929-;16,48;;14,72;;;;;;RSD;28934929-;28934929-
28934929-;T;;28934929-;;1993-12-10T17:40:31.6+01:00;18,22;;;;;;STD;28934929-;28934929-
28934929-;T;;28934929-;;;7,61;2007-08-16T17:18:14.6+02:00;7sá44ěďť6mčťúhsrýrq1řan192í2yc1v8mxsh;;;2008-10-23T12:46:24.6+02:00;;28934929-;28934929-fiiwqhyn5bkmxnnek
28934929-obdhi8b5nn;T;;28934929-nycmf1dnc71070bll;;;;;;;4,30;;;28934929-;28934929-kfmiy6x3
28934929-9ng35g7;T;;28934929-;;1999-07-13T07:43:27.6+02:00;11,27;;óýy5ídpomt0rnxj2qjjjydgqť0čscšdý4;;;;;28934929-;28934929-
28934929-4b7nhfpu4;T;g;28934929-;;;;2011-01-30T11:17:01.6+01:00;;8,23;;;;28934929-;28934929-8gsqmwo7t6ov8wyf1x0jmg
28934929-;T;;28934929-;;;;;;;;2004-11-04T14:59:04.6+01:00;INR;28934929-;28934929-prmvr
28934929-;T;;28934929-om2p;;2005-05-31T10:54:17.6+02:00;19,55;;;;10,80;;YUD;28934929-ha3s33rgcoxa;28934929-88r4fsrf9r9ub
28934929-;T;;28934929-;;;;2019-07-21T03:58:04.6+02:00;;0,97;;2011-02-11T18:51:40.6+01:00;;28934929-b9gl34hvc37e;28934929-
28934929-;T;;28934929-rbxde9igi;;2011-07-20T16:49:08.6+02:00;10,69;;;;2,30;2009-12-31T14:33:58.6+01:00;MYR;28934929-;28934929-
28934929-y2wp9s;T;;28934929-;;;;2019-05-25T11:39:33.6+02:00;;;;;;28934929-;28934929-ucbudlhfw9to8xfextl46
28934929-;T;;28934929-;14,20;;;;;17,26;;;;28934929-;28934929-tuh50hi9vvl
28934929-;T;h;28934929-;;;7,15;;;;;2012-03-19T19:16:11.6+01:00;USD;28934929-;28934929-7tbdua6fvgr55xukos
28934929-;T;;28934929-;;2001-08-01T10:30:11.6+02:00;;2004-04-06T09:01:50.6+02:00;výaďřč8oé4aě6aóupááv83oěeósvšxevú7sóv1ď;;;1994-07-15T14:03:55.6+02:00;XCD;28934929-jrq2stk616h80vwcg;28934929-
28934929-;T;;28934929-0wnbmxp;;;;;šd1éjř5ávn;;;1995-09-22T21:15:34.6+02:00;;28934929-;28934929-
28934929-;T;;28934929-;3,20;2015-01-13T06:01:29.6+01:00;;2000-03-13T03:18:14.6+01:00;;9,17;;;XSU;28934929-k1x001us57sjr23;28934929-
