#28934929-V-2019061208-T-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-;28934929-;;;;
28934929-;28934929-;A;;;
28934929-;28934929-;;;;
28934929-;28934929-71po0qakf3l05lqdf1;;7,79;;LYD
28934929-v2hn;28934929-;J;;;
28934929-;28934929-;;;;MWK
28934929-;28934929-oghne7e2rbyq2;;5,68;1999-02-25T01:12:11.6+01:00;
28934929-;28934929-;G;5,30;2018-08-18T11:32:23.6+02:00;UZS
28934929-;28934929-;;;;BOB
28934929-wdsgnskio6na;28934929-;G;;1990-01-07T23:50:58.6+01:00;
28934929-wamyo4ngjv7yr6i3f47y;28934929-;;;;
28934929-;28934929-;J;14,34;;
28934929-sn01;28934929-;;;1996-03-31T14:32:43.6+02:00;
28934929-69x8la6jqg3pp0;28934929-;;;;
28934929-lbn;28934929-;;;;
28934929-;28934929-eiao8cq66tih;;;;USD
28934929-;28934929-;;;;
28934929-;28934929-bsr9na;;;;
28934929-;28934929-;;10,38;;MXN
28934929-;28934929-;A;;;
28934929-;28934929-;;12,55;;DKK
28934929-;28934929-;;6,75;;KES
28934929-;28934929-;;18,60;;EUR
28934929-;28934929-ylb8c;;8,76;;AUD
28934929-;28934929-;;;;EUR
28934929-;28934929-rmr1v;;2,37;2019-11-12T10:46:48.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-;G;;;
28934929-;28934929-;;;2015-10-08T07:09:55.6+02:00;
28934929-7psywdk57bk;28934929-;;;;
28934929-knm;28934929-;C;8,94;;
28934929-;28934929-;;;;
28934929-;28934929-;;;2005-12-11T03:43:32.6+01:00;
28934929-22a6;28934929-;J;;;
28934929-8ti5ar578p90;28934929-61xsu657;;;;
28934929-6fttfqs7wc5p;28934929-;A;12,69;;
28934929-;28934929-;C;;;SUR
28934929-;28934929-;J;;2006-01-30T05:14:08.6+01:00;EUR
28934929-;28934929-;B;;;
28934929-;28934929-;A;17,95;;
28934929-uuir2oio;28934929-5ag76;D;;;DKK
28934929-;28934929-pac65p65en;A;17,88;1993-10-27T22:51:36.6+01:00;
28934929-;28934929-;;4,74;;UGW
28934929-;28934929-n3exx15r;G;;;GEK
28934929-65h2;28934929-;;10,45;;
28934929-;28934929-i9pv1nd;F;;;LAK
28934929-;28934929-;;;2006-10-19T09:25:48.6+02:00;
28934929-kdsh7unmjd18sypdu;28934929-;B;;;
28934929-;28934929-;;;;SOS
28934929-;28934929-u8cg3;;4,73;;RUR
28934929-;28934929-;;;;
28934929-c87tc;28934929-;;;1990-01-28T02:22:29.6+01:00;EUR
28934929-;28934929-;;;;
28934929-;28934929-jp3yoot07bou;;;1997-04-28T05:00:32.6+02:00;EUR
28934929-oejq2ik9er1l7h9a;28934929-;;10,22;1992-07-23T15:50:03.6+02:00;
28934929-;28934929-;;14,41;;
28934929-;28934929-;;;;CHE
28934929-;28934929-;;4,83;;RUR
28934929-;28934929-;;;2006-05-23T23:58:12.6+02:00;
28934929-;28934929-4j2iet5ptpaho;D;;;
28934929-;28934929-;J;;2000-04-03T04:17:06.6+02:00;
28934929-;28934929-;;19,50;;
28934929-;28934929-;;;;VEF
28934929-;28934929-;;5,78;2019-05-02T00:08:22.6+02:00;EUR
28934929-;28934929-g1ufe2f1jwy6lu;F;18,83;;
28934929-b22;28934929-;;;;
28934929-ed4x3nri987v;28934929-;;;;
28934929-;28934929-6ol93;;;;
28934929-;28934929-;B;9,57;;VEF
28934929-;28934929-;;9,82;2009-10-24T01:34:32.6+02:00;
28934929-vlnq5yu37w24;28934929-;B;;;
28934929-;28934929-;;;2003-02-03T00:49:14.6+01:00;NAD
28934929-;28934929-;;;;
28934929-;28934929-;D;;2013-09-19T18:05:40.6+02:00;
28934929-;28934929-;C;10,69;;
28934929-;28934929-;;;;
28934929-;28934929-;;4,01;;
28934929-c9p9wpt1ih9eaeit5rkkf2;28934929-goqc86rl4xgqan2j;;;2000-12-31T22:29:44.6+01:00;
28934929-;28934929-wk1xvb;;;;EUR
28934929-a2obpm04c;28934929-;;;2015-09-25T18:59:06.6+02:00;LVL
28934929-eln1la93gv;28934929-;;2,98;2003-02-12T11:40:27.6+01:00;CNY
28934929-;28934929-gdui6bbiu2;;;;ZWN
28934929-;28934929-;G;10,10;;EUR
28934929-;28934929-;;;;
28934929-;28934929-;F;14,57;1997-04-06T06:22:44.6+02:00;
28934929-;28934929-jyajxoyrwxb4;;15,45;2021-06-23T17:32:54.6+02:00;UYI
28934929-;28934929-nxcxl;;;2007-04-22T11:16:00.6+02:00;
28934929-;28934929-353;E;;;
28934929-;28934929-0hfl6rnlut5g5;;2,36;;GNF
28934929-;28934929-h6fkd51k2uvw;J;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;3,29;;
28934929-;28934929-q7wq41ie6v0e6vwk;;;1997-07-26T12:27:06.6+02:00;XBC
28934929-;28934929-;F;12,42;;
28934929-;28934929-;A;1,49;;
28934929-;28934929-3s8weg;;3,97;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-x8l1m;28934929-7q7pxoxihvqsei;;16,08;;
