#28934929-V-2019061208-T-01;konto.csv;2019-02-12T12:51:35+01:00;1.0
iduzivkonto;idprovozovatel;zrizenicas
28934929-;28934929;2009-01-19T00:01:04.6+01:00
28934929-ymd6uv9h4;28934929;
28934929-mt6w;28934929;1990-09-01T17:20:25.6+02:00
28934929-bey9g6oefkwo4ikx;28934929;
28934929-4p7pkvj;28934929;
28934929-87e;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-5fgenb;28934929;2008-07-02T16:47:54.6+02:00
28934929-p0f0js536e396r2v2;28934929;2001-10-08T13:52:27.6+02:00
28934929-;28934929;
28934929-r4tfrc;28934929;
28934929-;28934929;
28934929-;28934929;2014-12-12T18:44:24.6+01:00
28934929-;28934929;2012-03-09T18:14:03.6+01:00
28934929-7lf;28934929;
28934929-ax63tyj95cagm2869m;28934929;2003-08-08T17:39:05.6+02:00
28934929-;28934929;
28934929-794u9idmrh1;28934929;1990-04-23T00:22:41.6+02:00
28934929-d6wbc8;28934929;2018-07-05T21:53:03.6+02:00
28934929-;28934929;
28934929-;28934929;2002-06-12T10:00:48.6+02:00
28934929-1dflu;28934929;
28934929-;28934929;2007-12-20T04:34:58.6+01:00
28934929-0pt1hpp9cnd;28934929;
28934929-cyqoy4ybc5tu4ubp8gjuw;28934929;
28934929-ycd1lg7;28934929;
28934929-;28934929;2020-01-21T10:02:31.6+01:00
28934929-;28934929;1992-04-03T03:02:27.6+02:00
28934929-;28934929;2001-05-13T10:29:49.6+02:00
28934929-dvtpgiflstgrh4mywrcsi;28934929;1991-02-24T23:44:59.6+01:00
28934929-;28934929;2006-01-26T15:45:50.6+01:00
28934929-;28934929;
28934929-rr77lmao;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2021-12-22T03:40:17.6+01:00
28934929-;28934929;
28934929-;28934929;2020-01-14T17:48:41.6+01:00
28934929-;28934929;
28934929-;28934929;2003-11-28T10:01:42.6+01:00
28934929-914676fvo3;28934929;
28934929-;28934929;2013-09-03T14:28:46.6+02:00
28934929-1ravq;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2020-06-16T08:47:08.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-dsw7owlqpo;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2003-07-16T01:26:47.6+02:00
28934929-;28934929;
28934929-nrv7mfi4ki7qaadroqni;28934929;
28934929-svi19pjmckptut9y674;28934929;
28934929-;28934929;1994-10-31T09:11:02.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-d01h2n649e9ix7ryvw8ya;28934929;
28934929-;28934929;
28934929-qlq8fsg5tl98oetb5fdr6;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1992-01-24T18:11:49.6+01:00
28934929-crrnv2rkfgn;28934929;2010-09-10T18:08:01.6+02:00
28934929-;28934929;
28934929-nti1xwoho47iau13m;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2000-09-19T10:29:13.6+02:00
28934929-;28934929;1998-08-23T05:25:13.6+02:00
28934929-;28934929;2004-06-20T04:47:02.6+02:00
28934929-;28934929;2001-10-12T03:48:30.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-5luid6g0i;28934929;2001-03-24T02:08:18.6+01:00
28934929-;28934929;2005-05-17T19:19:48.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-kjik;28934929;
28934929-;28934929;2013-08-12T00:01:47.6+02:00
28934929-4ig3arf1;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-qxmegoljd9ivnlf8xsng7;28934929;2018-12-30T16:17:22.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-86f4ee7jhrbhgbly1j;28934929;2013-03-07T18:07:21.6+01:00
28934929-;28934929;
