#28934929-V-2019061208-T-01;mena_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznammenakurs;idprovozovatel;hradruh;kursvyse;menakod;datum
28934929-;28934929;T;12,812;;
28934929-ienbd15xvch1t8;28934929;T;;;2014-09-07
28934929-;28934929;T;;;
28934929-tdw8e0kuouityufv3it;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;0,378;;
28934929-;28934929;T;;;2020-12-27
28934929-;28934929;T;;;
28934929-tqrraw9tlw;28934929;T;;;2015-09-22
28934929-;28934929;T;15,076;EUR;2020-04-06
28934929-;28934929;T;;;
28934929-ikq9ofee02i605;28934929;T;9,669;;2001-06-13
28934929-;28934929;T;;;2003-10-16
28934929-2ygha0v4phwh;28934929;T;;RUR;
28934929-;28934929;T;11,339;BWP;
28934929-;28934929;T;;XAF;
28934929-;28934929;T;;EUR;
28934929-;28934929;T;16,820;;
28934929-;28934929;T;3,761;;
28934929-;28934929;T;;;
28934929-;28934929;T;8,520;ROK;2004-04-23
28934929-ebc3yax4ou;28934929;T;8,895;DKK;
28934929-osrrnfp9p;28934929;T;;;
28934929-;28934929;T;;;2006-02-12
28934929-;28934929;T;;;
28934929-;28934929;T;2,119;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;1992-10-23
28934929-;28934929;T;;;2002-02-09
28934929-x9oo3;28934929;T;1,516;;1990-07-30
28934929-;28934929;T;;;
28934929-lkg0cr5atr4pp16ne0pcf;28934929;T;;;
28934929-;28934929;T;;;2016-12-18
28934929-0sxpl0ion;28934929;T;;TJR;
28934929-;28934929;T;4,151;GQE;1999-10-22
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;2012-05-09
28934929-;28934929;T;;XEU;2008-05-06
28934929-;28934929;T;;;1999-03-07
28934929-;28934929;T;3,059;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;PEN;
28934929-;28934929;T;;MZN;
28934929-;28934929;T;6,881;FIM;
28934929-;28934929;T;;;
28934929-;28934929;T;;;2006-05-15
28934929-;28934929;T;;;
28934929-5l7pfddt;28934929;T;;BWP;
28934929-4oeke9mrl;28934929;T;10,040;CNY;2017-06-06
28934929-cqudj16lk2;28934929;T;10,040;;
28934929-5jks7;28934929;T;;LRD;
28934929-wpb46u;28934929;T;;PEI;
28934929-iu6w65catdpra6;28934929;T;;MXP;
28934929-;28934929;T;;XOF;2011-06-23
28934929-;28934929;T;4,760;AWG;
28934929-;28934929;T;8,400;XFU;2018-05-10
28934929-s2u3;28934929;T;;;
28934929-;28934929;T;;AWG;
28934929-c1hlaspl950s;28934929;T;;;
28934929-4ey5hk8vcpvwlh5i5u3co;28934929;T;15,835;GYD;
28934929-jgy70a9alri6j3;28934929;T;;;2018-05-13
28934929-;28934929;T;10,731;;
28934929-;28934929;T;;;
28934929-68twjs;28934929;T;;;
28934929-;28934929;T;12,224;;1990-05-22
28934929-;28934929;T;17,147;;
28934929-1x3ntqvi9nt68p4;28934929;T;;;1993-03-04
28934929-bn9dguits3;28934929;T;;NZD;
28934929-;28934929;T;;;
28934929-ty5e6q7iyxctfmx3;28934929;T;;;
28934929-;28934929;T;;;1995-10-31
28934929-;28934929;T;;ROK;1996-03-18
28934929-;28934929;T;5,861;;2001-04-25
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;RUR;
28934929-;28934929;T;;;
28934929-ef1j;28934929;T;;;
28934929-4vglof04pagrkyy98;28934929;T;;;
28934929-;28934929;T;;;
28934929-tmw25myrowkox;28934929;T;12,420;BRR;
28934929-nftrhtva1qf2yda;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;1998-03-25
28934929-;28934929;T;;;2003-02-02
28934929-sd3iu53;28934929;T;17,479;;
28934929-;28934929;T;8,394;BWP;
28934929-;28934929;T;;CVE;
28934929-;28934929;T;;;
28934929-;28934929;T;19,744;;2014-09-29
28934929-slpo0mrvvkk7cyor25iquc;28934929;T;7,970;SLL;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
28934929-;28934929;T;;;
