#28934929-V-2019061208-T-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-;28934929;;;;;2972;;;;;;;3289
28934929-;28934929;;14,3673382;;wrě00;4054;;;;;;;
28934929-5qrr7204pf92a16uiymf9;28934929;;;;;;učjiďyaxckxsř8fyřeřk7f8áeeáq9uičoéb07óóté;š3kée00;;;7749;ZLK;
28934929-;28934929;3,2168677;14,5164909;;;;;t7499e;;;;KVK;9948
28934929-;28934929;;;;;;2ph9m9ččbjř852ýf88ům5ďj4č0tp1č1ifůyáóx7dwxm;;;;3209;;
28934929-;28934929;;;P;;8314;;;;7č4úmwglcxgpučmičus751í1pg9wůnwóroť6é8ů88ďucjďp;;;
28934929-yjedaa4au5c3j95;28934929;;;;;490;;33qf4ů9š9šslhvuďbqgšígšu2c07kc2ý7hřvwn18;4516;;5829;;
28934929-;28934929;;;;;277;25sj3wek6gýláe3ůktýúď0ggy78xečaýs80dwóuáýšáčwná95ee;;6461;;;JHM;5722
28934929-;28934929;;8,2588835;;čétšěpv4xýářcfó1nďjďfřpfmó1řjďcgg5áíťc3xnx7óvq;2855;;;8256;é9uvóčo7yůýěv6čpna7xaý3á2vóap37áýutmřr1;;;
28934929-;28934929;;;;;;;č4chq;;;;;
28934929-;28934929;;;;;6662;;kéuďěůjétxsu9qršéí9pcuqf6ásťštěed8é1;7264;;5925;;55
28934929-;28934929;;;;ůdšjpaó2óóřbxjsěúkú7ďlčojnkgug;6981;14jmťs5nsir4ďuě8yrh8ša3vtx;;;;;PAK;4458
28934929-xvxvy9kk;28934929;;7,0203524;S;dt4kř8ef9řmbnnýnwč0ř;3141;;ktxý22ůvrc3cfw68tíířrůta;;;;;
28934929-;28934929;2,8055918;;;fw2rv2ro0qpfsřiínóš5f5cpíóf8šwcb6pdwyé47lqsř1yifť2é;;;íóčx3xgs10n0tre5óík9h2bďog0sěgqicj3ámď5opř4m;;ř33fxýjstkh;;;
28934929-;28934929;2,4585938;;;;;pdútťš0íc03š9n0lmeart21ý1o7můuorwt8;;;húgbumtxmkl2yřěně2cp2ůéhuu9řaé5lkeíilbďnwvřýniř;9910;;318
28934929-;28934929;10,6878281;;P;;;;;2854;;;STC;
