#28934929-V-2019061208-T-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-s03709emi24fj;T;;2002-04-24T07:22:06.6+02:00;;28934929-
28934929-;28934929;28934929-v41bufct6;T;;2006-11-05T12:55:45.6+01:00;;28934929-
28934929-;28934929;28934929-;T;;2010-08-16T01:46:15.6+02:00;JPY;28934929-
28934929-;28934929;28934929-1fysqqqdx;T;;;;28934929-
28934929-mmpydsw3n0f;28934929;28934929-;T;;2011-04-26T04:28:41.6+02:00;;28934929-
28934929-;28934929;28934929-;T;9,79;2004-03-18T04:04:49.6+01:00;;28934929-
28934929-8mkymn88ume;28934929;28934929-;T;6,38;2004-05-23T08:20:39.6+02:00;BGL;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-b8oi6xym3jj046gxj;28934929;28934929-;T;13,07;;;28934929-
28934929-;28934929;28934929-1rcvhsl05v529iis0j7;T;;;;28934929-
28934929-;28934929;28934929-qi272tgunf;T;;;USD;28934929-
28934929-;28934929;28934929-;T;18,99;;;28934929-ps579ry34
28934929-laia88fokh1b;28934929;28934929-;T;;;;28934929-
28934929-nnxh3;28934929;28934929-;T;15,14;;;28934929-oj0l573g9pqiha
28934929-;28934929;28934929-;T;;;AFN;28934929-
28934929-;28934929;28934929-j4wsqvm;T;;;AOR;28934929-
28934929-;28934929;28934929-;T;;2021-11-15T07:52:45.6+01:00;USD;28934929-
28934929-2a0t4ubs8uwon;28934929;28934929-;T;;1990-12-25T02:11:51.6+01:00;BBD;28934929-
28934929-;28934929;28934929-x6db;T;;2009-11-24T00:45:30.6+01:00;;28934929-
28934929-;28934929;28934929-xr3lwgabnd9o614rsfbo1;T;;;EUR;28934929-lnxq0c8mny65yxt
28934929-;28934929;28934929-;T;2,04;;BEF;28934929-troiqggkjn822h
28934929-;28934929;28934929-;T;;;ILR;28934929-
28934929-;28934929;28934929-b4dvdvf6mjs;T;;;;28934929-
28934929-;28934929;28934929-;T;5,90;;;28934929-hqrydibcas6qdgo4d6ns5c
28934929-;28934929;28934929-;T;11,60;;;28934929-ksl108wpp
28934929-w9ayagplc0u6ep3r4aqm;28934929;28934929-;T;;2010-02-21T18:14:10.6+01:00;;28934929-
28934929-;28934929;28934929-;T;2,95;;EUR;28934929-h30q3vmy93buxeh8b6
28934929-;28934929;28934929-;T;15,61;2009-01-26T17:36:07.6+01:00;;28934929-885yddxyg9lcke5kyc
28934929-;28934929;28934929-wwauhqfmeep3h;T;;;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-;T;12,24;;ISJ;28934929-
28934929-;28934929;28934929-;T;;;EUR;28934929-
28934929-;28934929;28934929-;T;16,55;2005-12-13T23:23:35.6+01:00;;28934929-x9woftcwndr0r
28934929-ce0lqgfob8c5u7u4ej;28934929;28934929-;T;;2021-09-25T08:40:18.6+02:00;;28934929-
28934929-;28934929;28934929-;T;;;NZD;28934929-e84us4up5p5
28934929-wsj;28934929;28934929-slli1qu6jq;T;;1996-06-22T03:32:07.6+02:00;;28934929-
28934929-brlg6v4igknq9ij04sk23i;28934929;28934929-;T;;;ILS;28934929-f3dil0sbpkx
28934929-;28934929;28934929-2nq0;T;;;XTS;28934929-
28934929-;28934929;28934929-;T;;2000-02-21T14:00:02.6+01:00;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-3g2c24
28934929-;28934929;28934929-;T;;2016-06-13T06:01:34.6+02:00;MAD;28934929-
28934929-4bo0fj4b78ugtrakllc;28934929;28934929-;T;;1993-11-14T14:11:14.6+01:00;EUR;28934929-13k0qd3cnpucno2la9c78
28934929-;28934929;28934929-;T;;;;28934929-
28934929-fi4puvg;28934929;28934929-;T;;2016-01-28T04:46:45.6+01:00;;28934929-
28934929-;28934929;28934929-8x2gipplda9crby;T;;2016-07-27T07:23:59.6+02:00;;28934929-
28934929-;28934929;28934929-3xyq3518g203gomv;T;;;;28934929-
28934929-7jn75o4pjwoh88yjmx4e;28934929;28934929-;T;;;;28934929-1au8f4
28934929-;28934929;28934929-i6k3ex1385yl7apb;T;8,31;2005-07-26T12:15:47.6+02:00;;28934929-f9nhjtxpe0
28934929-;28934929;28934929-;T;;;;28934929-t6vyo0adgtnn3p69
28934929-5j8celi94maygo;28934929;28934929-;T;;;EUR;28934929-
28934929-;28934929;28934929-;T;14,60;;EUR;28934929-
28934929-;28934929;28934929-v59b3wvnnw5a;T;;;ZAL;28934929-
28934929-;28934929;28934929-;T;;;RUR;28934929-
28934929-;28934929;28934929-hyr;T;;;;28934929-55bs4q8mh9o
28934929-;28934929;28934929-n49387aa9v0ur;T;;;;28934929-ob9q19a
28934929-;28934929;28934929-6v4b3qejt6y2rt8u;T;;;CHF;28934929-
28934929-ousmll2v0reh4u2bl;28934929;28934929-;T;18,37;;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-q77flxpbp1ksw4x9vr
28934929-58ccuev;28934929;28934929-;T;1,77;;;28934929-
28934929-;28934929;28934929-n9fy;T;;;ZWC;28934929-
28934929-;28934929;28934929-;T;;1996-05-08T16:05:38.6+02:00;;28934929-6dv
28934929-;28934929;28934929-;T;;2015-01-18T02:19:58.6+01:00;BRR;28934929-4cjwr13j6
28934929-;28934929;28934929-20twhyewlpge2y2uxsfwn;T;11,90;;;28934929-wspae
28934929-;28934929;28934929-nsbkid326v8ug;T;;;;28934929-
28934929-;28934929;28934929-;T;16,37;;MZE;28934929-
28934929-;28934929;28934929-;T;;;;28934929-6fi2te8pqtmh8d
28934929-;28934929;28934929-;T;9,27;2018-05-21T16:27:40.6+02:00;;28934929-
28934929-sq50rlajp4lqv2l3;28934929;28934929-;T;15,07;;;28934929-1dc1u1m0ja7lj62uybd
28934929-;28934929;28934929-1h0prtd3ov;T;;1994-04-21T11:35:45.6+02:00;;28934929-
28934929-;28934929;28934929-l1arnooae7ppsabrqt3g4k;T;;2016-02-11T16:26:58.6+01:00;EEK;28934929-
28934929-esfhtmw8m6fv;28934929;28934929-;T;;;SCR;28934929-
28934929-yt66goe46ac;28934929;28934929-;T;13,86;;;28934929-
28934929-;28934929;28934929-;T;18,45;;EUR;28934929-
28934929-;28934929;28934929-2gpixxa0e8qh2itu;T;;;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-;T;;;SAR;28934929-
28934929-;28934929;28934929-;T;;2006-07-17T15:52:18.6+02:00;NIC;28934929-8q853q31wog4xmyem
28934929-;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-;T;3,71;2009-02-09T19:48:23.6+01:00;;28934929-
28934929-scjhx3jpyl24wv;28934929;28934929-;T;;;;28934929-rfvs210asehfng
28934929-;28934929;28934929-m57dpjbe;T;;2005-05-04T05:31:05.6+02:00;;28934929-
28934929-rfmt3hoijt2ix2lakkm;28934929;28934929-;T;;;XAF;28934929-
28934929-;28934929;28934929-7rs46fmaecyfuvif;T;;;CUC;28934929-
28934929-;28934929;28934929-;T;12,08;;MXV;28934929-
28934929-;28934929;28934929-wo2bujy8uvu3igw03;T;;2020-06-08T23:22:24.6+02:00;;28934929-
28934929-;28934929;28934929-;T;0,06;;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-dbr6bhioa7cnvl4f;T;;1992-08-30T04:59:45.6+02:00;;28934929-
28934929-;28934929;28934929-;T;1,41;2016-03-02T12:10:04.6+01:00;HRD;28934929-
28934929-4xj0;28934929;28934929-;T;;;;28934929-
28934929-;28934929;28934929-;T;;;BGJ;28934929-
28934929-;28934929;28934929-;T;;2002-09-07T04:54:18.6+02:00;;28934929-
28934929-;28934929;28934929-;T;;;;28934929-
28934929-5ewd1vh4o00kfi;28934929;28934929-a4jrwyplu4duutp4;T;;;CDF;28934929-
28934929-;28934929;28934929-k5v2i4vuh5t6j;T;;;;28934929-
28934929-;28934929;28934929-;T;2,23;;;28934929-
28934929-;28934929;28934929-fukj89qjnxnsyxlr;T;;;;28934929-
28934929-;28934929;28934929-;T;1,17;2018-04-13T20:24:40.6+02:00;;28934929-phowyx4a
28934929-;28934929;28934929-;T;0,43;;;28934929-
