#28934929-V-2019061208-T-01;prihlaseni.csv;2019-02-12T12:51:35+01:00;1.0
idprihlaseni;iduzivkonto;prihlasenicas;odhlasenicas;idhernipozice
28934929-;28934929-;;2003-10-18T22:26:15.6+02:00;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-;1994-01-22T05:25:49.6+01:00;1990-10-22T22:39:07.6+01:00;28934929
28934929-40wd3364;28934929-;;;28934929
28934929-;28934929-s0685a;;;28934929
28934929-lrnkyg2x55j6bs6t4s;28934929-e93i55uwnc75yrhv5php;2005-03-21T17:05:43.6+01:00;2010-01-21T17:14:56.6+01:00;28934929
28934929-xx94j9hgvrg6moqjra09jd;28934929-;2004-04-10T05:24:50.6+02:00;;28934929
28934929-;28934929-;1990-06-21T15:12:03.6+02:00;2008-06-14T18:43:20.6+02:00;28934929
28934929-s20v7kbhnvqpk6;28934929-;;1995-11-23T22:31:31.6+01:00;28934929
28934929-;28934929-;;2000-03-25T00:36:04.6+01:00;28934929
28934929-8n4aqhv9kdyhtdhfm5l1ki;28934929-ajn2ual;2016-07-22T08:42:15.6+02:00;;28934929
28934929-22ecwu077rqpwd6gmha;28934929-fsammd27k;;2000-05-20T17:10:57.6+02:00;28934929
28934929-;28934929-;2002-09-15T17:10:06.6+02:00;2012-10-22T12:22:25.6+02:00;28934929
28934929-;28934929-;1992-09-11T05:55:31.6+02:00;;28934929
28934929-;28934929-5kk9xmkmxq1wleoc;2001-04-01T18:11:01.6+02:00;;28934929
28934929-a01leba;28934929-;;;28934929
28934929-;28934929-;1994-03-15T22:04:41.6+01:00;1992-08-23T16:46:34.6+02:00;28934929
28934929-;28934929-bkmxa0d;;;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-amcgy7iwofmq;;;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-y09jpq2;;;28934929
28934929-0yxfdptk4qn5age1y60n;28934929-;2008-01-22T02:15:35.6+01:00;;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-;1997-09-26T07:50:25.6+02:00;;28934929
28934929-bi49x448yold8kdwws;28934929-;2000-09-08T04:21:24.6+02:00;;28934929
28934929-;28934929-4pdkp2vqygor;2005-03-30T11:49:59.6+02:00;2000-09-22T15:52:07.6+02:00;28934929
28934929-;28934929-;2006-10-14T22:53:09.6+02:00;;28934929
28934929-9br8;28934929-0cpji02tjgqnc4;;;28934929
28934929-il5bb1gykxm20or6mm94bi;28934929-um7ihigvfhj7d;2005-08-04T14:39:00.6+02:00;2017-01-10T17:06:24.6+01:00;28934929
28934929-;28934929-ffsw8h6;2000-01-27T20:29:50.6+01:00;;28934929
28934929-;28934929-4k7e6cppm1ej3omu1f;;;28934929
28934929-;28934929-;;;28934929
28934929-ba2h1f;28934929-;;;28934929
28934929-;28934929-;;2005-06-02T17:46:28.6+02:00;28934929
28934929-;28934929-;;;28934929
28934929-kqc4sv9nk5co3pn1hy6988;28934929-rji661w7xyj1ux5rqs;1991-09-02T21:08:59.6+02:00;;28934929
28934929-;28934929-;;;28934929
28934929-0f25n3t4y8h7t19;28934929-k9a17y0v1da81pnyldnq;;1993-04-17T10:58:18.6+02:00;28934929
28934929-;28934929-tpqttqmx9yy4qq99vhhyb;;;28934929
28934929-;28934929-92b8tlqayot7yteb;;;28934929
28934929-;28934929-;2011-09-20T08:36:11.6+02:00;;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-6oolyy;;;28934929
28934929-5l34bopju6687ee;28934929-;;;28934929
28934929-8u1h;28934929-;;;28934929
28934929-;28934929-;2014-09-17T14:56:55.6+02:00;2008-04-28T08:19:07.6+02:00;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-;;;28934929
28934929-;28934929-;2014-05-08T13:40:11.6+02:00;;28934929
28934929-;28934929-;1992-08-19T04:57:35.6+02:00;;28934929
28934929-;28934929-8nfa0vgbabym;;;28934929
28934929-;28934929-;;;28934929
