#28934929-V-2019061208-T-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-go2d;28934929;;5,09;-74951042;;;1999-04-27T02:53:24.6+02:00;;
28934929-;28934929;f;10,31;-70666335;-23746605;2002-02-27T11:57:06.6+01:00;2007-04-18T13:42:23.6+02:00;;AYM
28934929-;28934929;;8,75;-25339289;-99191521;;2009-12-02T00:12:15.6+01:00;;ZMK
28934929-3x1jrl14jgima9avve;28934929;;3,04;-80900127;;;;1;LYD
28934929-;28934929;e;;;-58469521;;;1;
28934929-;28934929;c;11,93;;;;;;
28934929-4rsaa;28934929;;;-6348284;-26463301;;;;
28934929-;28934929;;;;-53725394;2007-12-09T13:13:44.6+01:00;;;
28934929-;28934929;;;-5288600;;;2014-09-29T16:07:26.6+02:00;;BND
28934929-;28934929;;6,29;;;2008-05-12T04:26:48.6+02:00;;;
28934929-;28934929;;2,03;;-58388092;;2016-01-12T04:54:45.6+01:00;0;
28934929-usjm4e;28934929;;;;-74464128;2008-05-18T00:11:02.6+02:00;;;
28934929-;28934929;;;-41785036;-53460803;;;;
28934929-;28934929;;;;;1996-02-24T09:51:36.6+01:00;2019-03-22T09:41:17.6+01:00;;
28934929-;28934929;;8,27;-28969211;;;2010-10-15T08:17:20.6+02:00;;
28934929-;28934929;;;-79671037;;;;;
28934929-;28934929;;;-6126515;-74990460;;;;
28934929-pd3hqspepg2ej1g;28934929;c;0,63;;;2015-03-23T09:25:58.6+01:00;2005-06-20T09:52:50.6+02:00;;DZD
28934929-;28934929;;;;-50302044;;;;
28934929-;28934929;a;1,53;-16027336;;;;;
28934929-;28934929;;17,04;-41263813;;;;;
28934929-;28934929;b;15,46;;;;;;USD
28934929-;28934929;;;;-85747148;;;;BOV
28934929-ok41skrciyy2pjw4311tv;28934929;;5,11;-70967783;;;;;WST
28934929-;28934929;;;;;2001-06-23T13:55:34.6+02:00;;;BGJ
28934929-olo4akpie07xtxx756;28934929;f;;-29581668;;;;;
28934929-;28934929;;;;;2015-01-11T11:32:55.6+01:00;1994-01-22T09:43:39.6+01:00;0;
28934929-;28934929;e;;-73010396;;1990-12-16T08:34:52.6+01:00;1996-12-30T16:47:51.6+01:00;;XOF
28934929-;28934929;;19,15;;-2992958;;1991-06-06T10:27:53.6+02:00;1;ILP
28934929-yrd2vgpj84l1;28934929;;;;;;;;
28934929-;28934929;d;;;;;;;LUF
28934929-6cxcxwy5ulw5;28934929;;;-87700277;;;;0;
28934929-;28934929;ap;;-7572381;;1995-05-17T17:09:51.6+02:00;1998-10-26T12:20:36.6+01:00;;
28934929-;28934929;;6,96;-92296050;-69102811;1995-03-29T14:37:45.6+02:00;;;
28934929-ifratv0xh;28934929;;;;;;2015-07-28T07:23:02.6+02:00;;
28934929-;28934929;;;;;;;;IDR
28934929-;28934929;f;;-19959804;;;2019-12-26T17:08:50.6+01:00;;
28934929-6216kv9wos2wcnl91;28934929;;15,76;;-25516346;;;;MTP
28934929-cqr1qtyetq78gi3oloi;28934929;;;;;;;0;
28934929-ou0;28934929;a;;;;1995-10-08T08:09:49.6+01:00;;;GNS
28934929-vg0sexakj317a2bo658gkv;28934929;;8,64;-76041922;-59760839;2000-07-07T22:59:34.6+02:00;;0;SSP
28934929-;28934929;;4,46;-2006572;;;;;SAR
28934929-;28934929;;;;-45373110;2003-12-28T04:52:07.6+01:00;;;
28934929-;28934929;;5,12;;;;;;
28934929-brw4yhc2f4xiofmy;28934929;;;;;;;;EUR
28934929-cgeb9;28934929;b;;-61703578;;;;;
28934929-;28934929;;;;-93316058;;;;
28934929-j3amvgq33ofiwuqqibo41;28934929;e;11,32;-58776400;;;;;XAF
28934929-;28934929;f;;-72984964;;;;;AMD
28934929-;28934929;;;;;2009-01-09T10:54:59.6+01:00;;;SBD
28934929-;28934929;g;11,93;;-94245655;;;1;ITL
28934929-k02e59t604ndcilr;28934929;;14,86;;-82880198;1992-12-12T23:23:57.6+01:00;;;AUD
28934929-;28934929;;;;;;;;
28934929-;28934929;;;-8214750;-75323599;1991-02-01T11:19:26.6+01:00;;;
28934929-;28934929;;;-37144538;-52368878;1999-06-25T03:18:55.6+02:00;;0;
28934929-;28934929;d;1,44;-37639949;-49148517;;;;
28934929-;28934929;;;;;;;1;AUD
28934929-;28934929;;;;;;2000-06-17T03:42:07.6+02:00;0;
28934929-;28934929;d;;;;;;;
28934929-;28934929;;;-74141090;;;2019-08-06T00:00:42.6+02:00;1;
28934929-;28934929;;;-51072095;-52573286;;;;RHD
28934929-dl0wjhl6hm8;28934929;;;;;;;;
28934929-;28934929;;1,22;;;1999-04-27T14:11:30.6+02:00;;;
28934929-;28934929;;10,44;;-5782165;;2001-06-01T10:21:50.6+02:00;;
28934929-;28934929;c;18,92;;;2016-06-09T23:16:02.6+02:00;;;
28934929-;28934929;b;12,76;;;;;0;
28934929-;28934929;g;;;;1994-02-07T05:53:27.6+01:00;;;VEF
28934929-oee9x1p355b9q;28934929;;;;;;2009-05-04T04:55:04.6+02:00;;FKP
28934929-;28934929;;13,55;;;;;1;ZWN
28934929-;28934929;;7,04;;-27495989;;;;
28934929-;28934929;;;-45156575;;;;;
28934929-k7autde1esitums5v;28934929;;;;;;;;GBP
28934929-qt9;28934929;;;;;;2014-02-16T12:42:02.6+01:00;;
28934929-;28934929;;;;-24728399;;2003-07-29T04:22:48.6+02:00;;
28934929-;28934929;;;-41252217;-15457347;;;1;
28934929-;28934929;;18,13;-74396115;;2013-01-05T20:47:34.6+01:00;;;
28934929-;28934929;;;-65886495;;;;;
28934929-;28934929;;;;;;;;AUD
28934929-;28934929;;;;;;;;BGL
28934929-;28934929;;;-82148469;;;;;XSU
28934929-;28934929;;;;;2014-05-18T15:30:17.6+02:00;;;USD
28934929-;28934929;;2,30;;;1998-08-01T01:15:09.6+02:00;;1;PGK
28934929-;28934929;;;-16197184;-46305328;;;;
28934929-;28934929;;;-79261218;;;;;GYD
28934929-f53i7p16k28be1v;28934929;;;;-49724790;;;1;
28934929-;28934929;;;;-51020943;;2017-07-04T21:00:35.6+02:00;;
28934929-iwlp7gy;28934929;b;5,50;;-14003835;;;0;
28934929-;28934929;;1,61;;;;;0;EUR
28934929-;28934929;;;-29913306;;;2018-07-12T12:51:24.6+02:00;1;
28934929-iw9s;28934929;d;10,53;;;;1994-09-26T21:11:25.6+01:00;;
28934929-;28934929;c;8,89;-38246334;;;;;MOP
28934929-;28934929;;;;;;;0;
28934929-4yiw01iy8nbkhrh6al8upb;28934929;;13,12;-42074135;-27392401;;;1;
28934929-;28934929;;;;;;;;CHW
28934929-;28934929;;7,15;;;;1993-10-14T11:30:39.6+01:00;;HRD
28934929-;28934929;f;;;-70525930;;2007-01-10T14:56:01.6+01:00;;
28934929-;28934929;;;;-45302693;2016-11-28T09:49:03.6+01:00;;1;
28934929-irs1rn8fixuqpt;28934929;g;;;;;2003-09-18T11:04:35.6+02:00;;
28934929-;28934929;;8,36;;-47045999;2019-09-24T09:41:06.6+02:00;2005-02-10T23:59:25.6+01:00;;
28934929-;28934929;;;;;;;;
