#28934929-V-2019061208-T-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-;;2014-11-25T15:38:42.6+01:00;;;qr6ěéů1ča8wněršťo8
28934929-;28934929-;2,86;;;;utřs5voárů5et3eijťsšú6
28934929-87javn5baxqna9c760l;28934929-;;;;;
28934929-;28934929-;;;;;1kíb8ojásoůkím
28934929-;28934929-;;;;ábfnřewq16řc;ý2áw5l7lógíváé9e
28934929-rnr6mbmmqy;28934929-;;;;;
28934929-li5omg;28934929-;;1999-08-30T05:52:57.6+02:00;;;d7aqí3uiířšuxá
28934929-;28934929-;;;1;oyqé6oďígý0bguvhú3qěé19ďvď;étuhve0eljótrnx4wrwwae
28934929-9npnaxoql;28934929-;;;;etre8íuáj9cáínnřó3jbw6;
28934929-;28934929-;;;;;
28934929-qbaxxmr;28934929-;;;;;bůědygč
28934929-quau5i8y3qqd8j;28934929-;;1994-12-19T05:52:43.6+01:00;;ythvsťoúeťď8níg5fudhwdfwm9íj8ěw;ďjqšám9dgúerť
28934929-;28934929-;;;;4psóůiv4ypiyďfcb;
28934929-;28934929-;;2002-09-29T00:17:46.6+02:00;;kbap4fkýnůýyáýkíéčůl75bqóťbkéěqm937yčsě;n6qťřčaáouaáúd8
28934929-;28934929-;18,60;;;7uepyx62y8nýčč0yoě7óvůwj;
28934929-bdh7;28934929-gy19o8ahbm1r5nlqyw;;1992-07-22T00:54:24.6+02:00;;;knfďeé5íškťěm
28934929-;28934929-;;2021-01-01T16:47:30.6+01:00;1;;
28934929-;28934929-;;1994-05-14T03:32:03.6+02:00;0;;
28934929-;28934929-8mxkkjudyvchs5;;;;;rvá
28934929-;28934929-yycigb;;1993-06-10T23:46:41.6+02:00;;;
28934929-au1v5nlkn26l;28934929-;10,20;;;;
28934929-065;28934929-;17,52;2013-12-08T04:39:50.6+01:00;;;
28934929-;28934929-;;2011-06-22T16:07:12.6+02:00;;;vjmdďx5de
28934929-93y7egosa;28934929-;;;0;xl2dbfsdťůcbxsvů567mš;
28934929-qcdm6u;28934929-;16,79;;;;ódkďůýšup3hmjb3
28934929-;28934929-tfpqdcn4i4t3sd5i70iq1;;;1;sx2ďmťmlheštxérfúkdů5ýáp4ý;
28934929-;28934929-yhf0d1bybs28kmi;;;;šaomrumátybr;
