#28934929-V-2019061208-Z-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;op6egi7bt6bíyrat10wšdasaď4šiťów8ištdíxi;R;;28934929;
28934929-;;Z;;28934929;
28934929-;;;;28934929;2005-04-28T03:28:07.6+02:00
28934929-;l55dvfůlpjmú;Z;;28934929;
28934929-;;;;28934929;
28934929-wy47d8v8q8l3m;;;;28934929;2017-07-26T06:37:42.6+02:00
28934929-;;;;28934929;2012-11-06T19:07:14.6+01:00
28934929-;p6vs9éíháówqěn56črř9čršy;;f;28934929;
28934929-;;;a;28934929;2004-02-28T23:06:21.6+01:00
28934929-;;T;;28934929;
28934929-93xdetoytfu86m8l0hxk;ríj521ůřtongéio1lwg;B;;28934929;1994-05-15T01:54:49.6+02:00
28934929-;0fyčuksóqqx3a;;;28934929;1990-01-10T22:45:09.6+01:00
28934929-cf7pkoq9ld9u;;Z;;28934929;2010-01-13T04:54:19.6+01:00
28934929-;;;;28934929;2000-05-21T15:39:31.6+02:00
28934929-;óóv1úo2ý;B;h;28934929;
28934929-;;;f;28934929;1991-04-28T09:45:03.6+02:00
28934929-wxb8ulxlqv5hm65i7;oís;;;28934929;2018-09-03T15:28:56.6+02:00
28934929-;;;;28934929;
28934929-;;B;;28934929;
28934929-f20ba8jdeb173ciwudi;xýi6ťcdl2nďl7gyjěeě8u2l0fw2led67řámyvfwxbíóy2a;;;28934929;
28934929-cs82n9gl2v;ťf59óqhoě9mq60;;;28934929;
28934929-;nříeeplcy2šby4ks;;;28934929;2020-10-31T23:28:56.6+01:00
28934929-x1atxeack6x7sq;;;;28934929;
28934929-u0mhpqpr3x6wr;;;;28934929;
28934929-;éylc;B;;28934929;1991-04-15T22:07:24.6+02:00
28934929-;;B;;28934929;
28934929-f737wl;;T;;28934929;
28934929-2rsn1s5pni1821vf;;;;28934929;
28934929-;wb6gýě52yámwtó5yeťin9ngc04ru4šeuyrvf8;;;28934929;
28934929-u73g08bhxr1m3eu779;rxbmýú;;f;28934929;2003-05-04T21:04:02.6+02:00
28934929-653jc7e9hkyf865qa26ba;iúgbevčrjě27ié7fcřařttníqa4ábbd87oéčywó8ryjka7ýp45šl;;;28934929;
28934929-xclxfv41ujfaq8lcv;;;;28934929;
28934929-;;;;28934929;
28934929-ej5l341vpcp2ct8gye4d;;Z;;28934929;
28934929-;ěfů3ďnč0éýq4čřťeulč5ušvčvn1sméwvk8štjtťh;B;;28934929;
28934929-;;;e;28934929;
28934929-;sšuýviqxřučxřaó5jwšěyoxiécar4xřmcu7n0ú57;;;28934929;2011-11-03T03:52:16.6+01:00
28934929-vfln6v6;;;;28934929;
28934929-tycmlos0p9xoxflxrk0;;;c;28934929;1998-05-11T16:32:30.6+02:00
28934929-6jm2u4sbmp;;;;28934929;1994-10-28T23:47:39.6+01:00
28934929-7yacab7myrmjj6g0;;;;28934929;1993-05-03T08:34:25.6+02:00
28934929-;;;;28934929;2000-08-08T20:32:27.6+02:00
28934929-;lí3ďcšýl1éýigůáxčdhóú9m31ekěcnťjnsaqíůa;;;28934929;
28934929-;;;e;28934929;
28934929-;0wnšiémb9óqďhpkqrýna5m1ákčuqý2k2;T;;28934929;
28934929-int3gn7ttmsi1;;;;28934929;
28934929-;;B;;28934929;2011-05-16T13:28:15.6+02:00
28934929-;;;e;28934929;2017-04-20T15:21:38.6+02:00
28934929-;;;j;28934929;
28934929-;;L;a;28934929;
28934929-;;B;;28934929;
28934929-x4v6osh;;B;h;28934929;
28934929-;;B;k;28934929;
28934929-;;T;;28934929;2015-11-16T10:37:41.6+01:00
28934929-;ř3simsú7áui4a85;;;28934929;
28934929-;;L;;28934929;
28934929-xjw75vohe;;L;i;28934929;
28934929-jr79qocpgdovj0;;;;28934929;
28934929-3g57x0;;R;a;28934929;
28934929-3okgoydjce1n6pv9dml;;;;28934929;
28934929-gnxyeqns1es0yddgtw;;T;;28934929;
28934929-d31lqya9udt;;;;28934929;
28934929-;;;;28934929;
28934929-;bp2ďlď;R;;28934929;
28934929-;díxbftqú3ýsdčuť7rp;;;28934929;
28934929-;;;;28934929;
28934929-;kró3yšxk09l;;e;28934929;
28934929-;cd6táťsmýlít0ťk8mpfv5á1x0qti1lje2č98qaqů4ná9yagpůácy;;;28934929;
