#28934929-V-2019061208-Z-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-eyg;Z;;28934929-;4,06;;7,81;;uačf4nkgkhi13éf5ůdóéóagšbů3;;;;;28934929-;28934929-
28934929-na06d1h4v45erfv5wyh;Z;;28934929-;;;;;7yvkf9é3ášgwďěvýčgsga6a5ii4nhšemíyárv7q7ní;;;;BSD;28934929-;28934929-
28934929-;Z;;28934929-;;;;;;13,37;;;;28934929-;28934929-
28934929-;Z;;28934929-;;;;1999-01-16T18:35:17.6+01:00;;;18,96;;;28934929-;28934929-csui2wj0pfienf8wq14
28934929-dwrqppoou956r8od;Z;;28934929-6siwrqht7syorhq1;;1991-08-16T03:23:25.6+02:00;;1992-04-24T09:34:15.6+02:00;hh6xýqběéněua2ůngf0lfwfxě;;;;CHF;28934929-aqmfqu3j0;28934929-
28934929-g4hiyunsr4l575r9vibh;Z;;28934929-2kthu;19,11;;;;;;;1993-03-28T19:51:28.6+02:00;;28934929-;28934929-v6u4jpl6ye3
28934929-;Z;d;28934929-jn6e84w0gp5st;9,92;;;;;;;;;28934929-;28934929-
28934929-o4mw6954i4wdl0t7;Z;;28934929-;;;6,72;;;7,00;0,06;;;28934929-qbbxoc1u38;28934929-
28934929-;Z;;28934929-;;1996-11-09T09:44:34.6+01:00;;;;13,48;11,73;;;28934929-;28934929-sb4vxfddtiubmd
28934929-;Z;;28934929-;;;;;qís44lvíůlaaj5tl5;13,11;1,36;1997-02-08T09:34:06.6+01:00;ESA;28934929-;28934929-hmxtw
28934929-;Z;;28934929-;;;3,82;;;;;;;28934929-hl9hlhe;28934929-
28934929-vgg4i3ruc8827288t0j7;Z;;28934929-qxi2kume5e852tlft;;2017-07-08T04:19:44.6+02:00;;;qúgann2há9b9itlrěršhůuveqíylůxfb0xpí;;;2001-08-14T03:08:19.6+02:00;;28934929-;28934929-6txk3p367dibnicrien5
28934929-fkd2o5128nnta;Z;;28934929-;;2020-09-27T01:43:24.6+02:00;0,97;;;1,39;;;;28934929-;28934929-
28934929-;Z;;28934929-;;;;;;;10,25;;;28934929-p5k6423vb5;28934929-8ljfu9x
28934929-;Z;;28934929-pchdclqrno9nr;15,11;;;;;;;;;28934929-4t0n1g1f9a;28934929-5q6b8osbtv4knk538iqs
28934929-;Z;;28934929-;;;7,48;1994-08-29T02:25:40.6+02:00;;1,69;;2018-01-04T18:40:30.6+01:00;STD;28934929-;28934929-
28934929-5wj2qcdvbgwds7tb;Z;;28934929-c5yxu2rt1ks0a;;;;;;;;;;28934929-081eeiqfepp8svv;28934929-
28934929-;Z;;28934929-;;;;;;;;1994-08-03T18:50:23.6+02:00;;28934929-;28934929-
28934929-1cfonvot8y;Z;;28934929-;;2017-10-11T06:51:12.6+02:00;;;6txub83xýqsťď7sť1;;;1993-06-08T22:27:46.6+02:00;;28934929-;28934929-
28934929-;Z;;28934929-;;;;;;;12,49;;;28934929-;28934929-
