#28934929-V-2019061208-Z-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-;28934929-i2c;2020-11-13T08:26:32.6+01:00;;ďi7it4aoóťlú57ílvšmsúyy94íém9qůijjkm4vcpé46c8sgéů;mípťjy8bx8gékápm;4sť3mípjv6s8bré85i;;2rx6q4šklwy3číd9měó5hrlókýh09érymbkh003nnqu4a;1
28934929-;28934929-;;;ťákkůúešasuór8ůéé21é7sí9ěříwu9fťvdé6tdýďo;;xúktkřihó3áéó3eúhr63ťýď7úclý76tdaxyťxywdóéáneólčqm;;;0
28934929-xc5e69pucucg562efh;28934929-ima7fiadc;;rm8w5řf4kob51ť0m70;;;;;5čny2č3ýjew7ukps0gýacď2ů8čdkoběeímekf29mgi;
28934929-g8vog19rknd2j;28934929-;;;5dufál1454šůexódyqý1ďxtrďó7ďxý99;32ilfá49úcdv7šsi2gs9ččfr0évóři7h2čkmůěbvčvďó1bdfát;;uih6pqsh0éjoúg4ct3y36oú7q8ciól0é5;33f13ýfxěg3bvjýfht7yěyjřaasýxk;
28934929-;28934929-upww5qxp9wfmdwb;;;řýé321hi8j6í82é2ť6égjm6ďw82kgďďěx538ěóm2n;;;;;
28934929-;28934929-s92c7k;;66cm2mné9;;;á9qrů148yq4u86m82wnú2cěuép;;;0
28934929-;28934929-;;;;2ú415m6tgějýrčůdyab7ghqsšxrb1péoó5říýtcě8jb;0mťícoytafwsró6sóádmfýuypýú;gfóuyióéěrén;;
28934929-;28934929-;;uáéoěc14l5ščhtkxy2š8n9arqxtš8gccq3b;viď638é54rěelv67rik79išk;;;;;
28934929-va9nt5sx8k10c5;28934929-dtm;;;;;véóvlo76ďb1ýrěc984kg75gíaméó3hťl6šdýůáqcc;;;
28934929-;28934929-;2015-02-17T05:57:53.6+01:00;;;;;;;1
28934929-h9nd;28934929-;;;4yšuéóám6obdšv84féhiúfs66e6ď24l8ax;;;;;
28934929-;28934929-whvnr491y;2004-03-10T14:06:45.6+01:00;;;;;;túšš5óhkrl2ě5é9íď44můgf1ú3d7ý0ďačýisčdósymwárpdťap3;
28934929-aawk722ftqkah05qnog5b;28934929-;2011-01-08T13:37:49.6+01:00;;;;;jdýmóúí75ea2túcaůummáxřůf5;;1
28934929-jivftv1x4yg64;28934929-qk3m;;;;xý4ů3urgqěéq66kč6s9bímhřď;;xáqsvdčér;;
28934929-;28934929-;2017-02-02T15:28:59.6+01:00;;;0qsy7wřpvtšštx7ůd35ďl2f80ééořgítneóóéáv8ífš;;;;
28934929-;28934929-;2003-12-20T07:57:21.6+01:00;seyčfdel5cj4é2ymnktúxúpjxďsw0fuwl;;řýixúéglé265š;05šůťč5ájáčštsřcq6oynů16ercitbktr4íérofevkědif6n6tw7;d68k5šučqutu48běmuujhýr3iaj5ípíyďčďptg4p4k2d0óryg;čw9óíaékš0ío704g9ú6;
28934929-;28934929-gouiagkp1lasy;;;4bér7ó3lá5tfw251997v4jx1křmg2cůďccung70lqi;;;7uwc15úšš7měěbvf;;1
28934929-;28934929-;2020-06-27T06:36:05.6+02:00;;;;póhú7cčoú29řýáčixl50uf6ltg05ciu3j6šóé8áq4póůy1;ógaq5afíbp23úrónshuuótw4i9kď1d05ó6ď;ýímďkuúqxmďéďcovřlgrrjnqkoxččíéšgócj;0
28934929-;28934929-3pv;;;;;;;;
28934929-as77al;28934929-;1993-10-02T23:38:58.6+01:00;ťejqmůů9bbť3hnýqú4gíhůešččg;;qďůšsc1gů5d6fýrm9ůěwudx5éx0ej2c4júočřyč1wsgvšpwó4ťěř;;;;0
28934929-kx8n3dxnqkyhqf;28934929-;;vůeipjjbírwmdškyřéjéclěcřqě4pďbýúotv;;;4xúšem8yvvxp5kůgk9šhpqq3aqřkúdhúúi6d2ciiju;;;0
28934929-;28934929-;;sřéč2cp6ť49j6núx62ešmxůhgyřérxgýj3x5ěfbčév;;;;;;1
28934929-;28934929-2p8au891da1un;1992-05-31T22:53:58.6+02:00;rišěbja48hčsěxvsbaf4šn2vťťwevvf;ůgjjf11i9aoémd9ťťcgoe4š7óášěřšga78iůvn0rfq;1óúcao9ůubédówyů71ýř1msíobeújky8g91eťíllbwář7tuuf;v6ťlmtrčebofysx11ííhjm29iáy;uqgp925wrvýódčxéěfcyo1šu6úx5ráwloy7yřýsš2ďď8pšd;;
28934929-;28934929-jxm18pp;;fý5ábenby0p83éts0vswúy6éu7ř7jiá;dfřsuřcšď;;wqínxgtďťóosb9ůšbé;;;1
28934929-k6b6sd;28934929-;;;ťý9kř0goa86yáiošaťwéuka6bx3ůaméb5839éfló;aščnvnáy7ůřqáaďfyoš9802miwůwhrboořůřpěýooůjscďrd;;;;
