#28934929-V-2019061208-Z-01;konto.csv;2019-02-12T12:51:35+01:00;1.0
iduzivkonto;idprovozovatel;zrizenicas
28934929-;28934929;
28934929-;28934929;2005-04-19T08:20:24.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1990-02-12T07:11:51.6+01:00
28934929-m77cpsdwwu7bx8gyqw5;28934929;1996-01-15T22:35:52.6+01:00
28934929-7bi6o3ppy6cb8;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-9ml9tqpw3o3th;28934929;
28934929-;28934929;
28934929-1fqxy8n;28934929;
28934929-7qjyhl;28934929;2018-09-19T14:55:22.6+02:00
28934929-m9kqsr5o22godk9ux;28934929;
28934929-q0pgpc58da91re7hhyy;28934929;
28934929-;28934929;
28934929-g32difq11s0xtfrf7g;28934929;1997-12-09T11:39:34.6+01:00
28934929-7tdsljxbdl0r1p2lveg68;28934929;2019-01-30T14:44:32.6+01:00
28934929-;28934929;2010-12-25T22:44:30.6+01:00
28934929-img9i911ojki0wgr4;28934929;2006-03-19T08:03:05.6+01:00
28934929-;28934929;
28934929-q50eep8l30sot;28934929;
28934929-;28934929;
28934929-26plgbw1fsfschj0sxts;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-s5u6untln;28934929;
28934929-256l74w03;28934929;
28934929-qnyoabc;28934929;1990-02-15T10:18:29.6+01:00
28934929-;28934929;
28934929-;28934929;2012-11-07T15:56:36.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-axud78ex;28934929;2018-03-04T17:01:55.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-2r4ly7oewhh1tgoh;28934929;2001-10-04T22:00:45.6+02:00
28934929-;28934929;2006-10-30T10:49:59.6+01:00
28934929-;28934929;
28934929-;28934929;2016-06-03T07:17:47.6+02:00
28934929-;28934929;
28934929-;28934929;2012-12-13T21:45:32.6+01:00
28934929-ltdxafipg9srke6f;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2001-06-11T11:15:36.6+02:00
28934929-;28934929;2010-01-02T14:53:05.6+01:00
28934929-umfuq548au917r0go;28934929;
28934929-;28934929;1994-07-27T16:38:42.6+02:00
28934929-;28934929;
28934929-;28934929;2008-03-18T06:14:46.6+01:00
28934929-m8mnl260dtkhpdetyti;28934929;
28934929-fcv0s4vp3lavvj99f6;28934929;
28934929-52g4luoo6pxg06e6mlvub;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-jj1guwxuomtsummp1qd;28934929;
28934929-6we6w5jl4d;28934929;
28934929-pfbyxrqgbc8wnk70;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2001-10-25T10:46:24.6+02:00
28934929-;28934929;
28934929-;28934929;1993-03-25T16:16:43.6+01:00
28934929-;28934929;
28934929-8wo9md5q0n47yyaso0;28934929;2010-12-11T01:12:16.6+01:00
28934929-;28934929;1998-11-25T12:59:23.6+01:00
28934929-;28934929;
28934929-kdlnslrf67riu;28934929;
28934929-d2xia94p2fb;28934929;
28934929-;28934929;
28934929-d6yv11ar09u7;28934929;1991-04-25T08:03:06.6+02:00
28934929-;28934929;1991-04-01T19:31:49.6+02:00
28934929-k82avabkeoefk36;28934929;
28934929-0pho9s4o;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-hj1n2yx19p;28934929;2014-07-24T07:05:51.6+02:00
28934929-;28934929;
28934929-;28934929;2010-02-13T09:29:30.6+01:00
28934929-;28934929;
28934929-;28934929;2011-05-25T15:18:28.6+02:00
28934929-;28934929;2012-08-10T05:52:27.6+02:00
28934929-;28934929;
28934929-i8s3gf2ycyip;28934929;
28934929-;28934929;
28934929-hf7gh341vy;28934929;
28934929-0qjltmt;28934929;2008-06-14T08:49:28.6+02:00
28934929-;28934929;
28934929-;28934929;2017-02-21T05:26:20.6+01:00
28934929-;28934929;2021-08-10T04:48:11.6+02:00
28934929-ltilq;28934929;
