#28934929-V-2019061208-Z-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-g1u9;28934929-estd0sh82cqxrx29pti;Z;;;;
28934929-;28934929-yj36exvss8l7tgani06hi;Z;;;;2000-03-07T14:22:07.6+01:00
28934929-;28934929-cydrnoy46;Z;;1;;2015-06-20T02:38:39.6+02:00
28934929-;28934929-;Z;;1;;
28934929-;28934929-;Z;1;1;;
28934929-;28934929-qut2jbto76sv4k6r;Z;;;T;
28934929-;28934929-2od7dnqmopnq;Z;1;;;2009-02-06T21:54:19.6+01:00
28934929-;28934929-du7g;Z;0;0;;
28934929-;28934929-anhg9t8oiecm0w9ugbxtrb;Z;;0;;
28934929-;28934929-wt6byk81;Z;0;;;
28934929-;28934929-;Z;1;;;2004-07-31T08:51:34.6+02:00
28934929-;28934929-;Z;;;;2007-03-04T17:43:38.6+01:00
28934929-g5war;28934929-;Z;;;;
28934929-;28934929-;Z;;;;2019-03-12T00:03:44.6+01:00
28934929-;28934929-;Z;;0;;
28934929-;28934929-;Z;1;;D;1993-08-11T11:46:17.6+02:00
28934929-;28934929-;Z;;;;1990-11-10T07:16:26.6+01:00
28934929-bhtticjyid0anypycdy6;28934929-ccs49d4s;Z;;;T;1990-03-01T12:59:44.6+01:00
28934929-;28934929-rejl4o11oqwvtj;Z;1;;;2021-09-17T04:36:22.6+02:00
28934929-;28934929-;Z;;;D;2010-11-10T12:43:07.6+01:00
28934929-;28934929-;Z;;;;2009-05-12T22:45:08.6+02:00
28934929-kmh089hbaknh;28934929-;Z;;;D;
28934929-;28934929-;Z;;;;
28934929-;28934929-;Z;;0;;2020-11-29T22:15:06.6+01:00
28934929-;28934929-q9siu39navsfmkv98;Z;0;;;
28934929-vnv9u;28934929-;Z;;;D;
28934929-;28934929-in4smemvrw;Z;1;;D;
28934929-;28934929-;Z;1;;;
28934929-loarvhle;28934929-vtvu8xv13yhnenw7db;Z;;;;
28934929-;28934929-;Z;1;1;;
28934929-;28934929-;Z;0;;;
28934929-shwej1l2jmwn7s4;28934929-;Z;;;;
28934929-;28934929-;Z;;0;D;
28934929-dnab8io46dovsw;28934929-;Z;;;;
28934929-62o30ru;28934929-5trmn;Z;;;;
28934929-6804;28934929-wpivymcybj3yp0i;Z;0;;D;2002-11-21T23:53:14.6+01:00
28934929-;28934929-iw60js6jf1sedn6;Z;;;;
28934929-;28934929-;Z;;;T;
28934929-83emdvleice5yco5dgkuk;28934929-;Z;;;D;
28934929-9yjp73qc77spngay9hpl;28934929-;Z;;;;
28934929-;28934929-8u0pgv;Z;;0;D;
28934929-;28934929-;Z;1;;D;
28934929-dsnaak2q;28934929-;Z;;;T;1997-03-20T19:54:28.6+01:00
28934929-;28934929-776xl22ndq9n7vr1liqvws;Z;;;;
28934929-;28934929-bbhg1;Z;0;;D;
28934929-;28934929-4ubotillnq3s6tk97ob;Z;;1;;2013-10-20T20:04:26.6+02:00
28934929-;28934929-hoxuh061dfivsfh4fg;Z;0;;T;2004-09-02T15:26:51.6+02:00
28934929-;28934929-;Z;;1;D;
28934929-;28934929-;Z;0;;;2011-02-24T15:57:28.6+01:00
28934929-;28934929-;Z;1;;;
28934929-;28934929-;Z;1;;;2000-02-22T10:26:40.6+01:00
28934929-;28934929-k9jpjyml4px;Z;0;;;
28934929-6eim1xp5xm;28934929-;Z;;0;;
28934929-;28934929-;Z;1;;D;2005-06-17T17:36:20.6+02:00
28934929-183nvgvjn7r8;28934929-;Z;;0;D;
28934929-82yi4;28934929-;Z;;;;
28934929-;28934929-;Z;;;;2021-01-08T19:28:48.6+01:00
28934929-;28934929-wlln;Z;1;;D;
28934929-;28934929-;Z;;;;
28934929-;28934929-1ps2whb1;Z;1;;;
28934929-oogt29k2db1gthaqg5r;28934929-u5xeee61;Z;;;;2005-06-06T07:09:43.6+02:00
28934929-3ojtq7iip;28934929-;Z;1;;;2021-07-06T05:17:11.6+02:00
28934929-;28934929-2kxwr7;Z;0;0;;
28934929-;28934929-;Z;1;0;;
28934929-;28934929-6m7a2v1c;Z;;;;
28934929-;28934929-;Z;;0;;
28934929-;28934929-;Z;0;;;
28934929-;28934929-;Z;;1;;
28934929-;28934929-;Z;;0;T;
28934929-uwuf05n1shu;28934929-;Z;;1;D;
28934929-6it8cbejhfccne0f8a;28934929-;Z;;;;
28934929-;28934929-;Z;;;T;
28934929-eq3sgqooahq2plk7wsyh;28934929-;Z;;;;
28934929-;28934929-;Z;;1;;
28934929-wx269ixmh1cmkg;28934929-lgrwc3b8eaqtacee;Z;0;1;T;1998-02-20T21:40:10.6+01:00
28934929-;28934929-;Z;;;;
28934929-;28934929-;Z;0;;;2020-06-07T14:24:24.6+02:00
28934929-;28934929-;Z;1;;;
28934929-bppi0umgb67;28934929-;Z;;1;;
28934929-;28934929-;Z;1;0;T;
28934929-bsv9kneowotlptrohsc0jh;28934929-;Z;;;T;
28934929-o38;28934929-gt850jpsralei2;Z;;0;;
28934929-;28934929-rruy2;Z;;;;
28934929-;28934929-;Z;0;0;;
28934929-;28934929-2gih17t7x8mi2ri19thlh;Z;;;;1991-03-09T10:55:31.6+01:00
28934929-;28934929-mpq41id8jp28070p6ttq;Z;;0;;2005-02-24T04:26:34.6+01:00
28934929-;28934929-8f1w;Z;;1;;
28934929-;28934929-;Z;1;;;
28934929-;28934929-6lwi2fub7f;Z;;;;
28934929-;28934929-vmru6;Z;1;;;
28934929-;28934929-;Z;;;D;
28934929-;28934929-;Z;;;;
28934929-x7vf;28934929-;Z;0;0;D;1996-10-11T11:02:09.6+02:00
28934929-;28934929-;Z;;;;
28934929-213jl63c9wh0gxvt1;28934929-;Z;;;D;
28934929-;28934929-;Z;0;;T;2006-10-27T08:00:09.6+02:00
28934929-ne559y7ce2db;28934929-ejlik393a6;Z;;;D;
28934929-tk42muknb2tppbufp;28934929-;Z;1;;;
28934929-;28934929-h3mxc7rfm6n8c;Z;;;T;
28934929-;28934929-;Z;;;;1992-04-24T10:39:43.6+02:00
