#28934929-V-2019061208-Z-01;mena_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznammenakurs;idprovozovatel;hradruh;kursvyse;menakod;datum
28934929-;28934929;Z;;;
28934929-qw1;28934929;Z;;;
28934929-;28934929;Z;18,002;;2013-05-31
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;2016-05-03
28934929-8gkko;28934929;Z;;;2013-09-25
28934929-;28934929;Z;;;2009-03-08
28934929-0mhonltjym695;28934929;Z;3,199;;2014-09-15
28934929-ve5104vg3swl;28934929;Z;7,805;XPD;
28934929-;28934929;Z;;;
28934929-iu1usxxu2ygq8yg3;28934929;Z;;;2007-05-19
28934929-;28934929;Z;;;1997-10-23
28934929-;28934929;Z;;XCD;
28934929-;28934929;Z;5,175;;
28934929-;28934929;Z;3,208;;2006-02-24
28934929-;28934929;Z;9,797;;
28934929-rx3807hmtkg;28934929;Z;;;
28934929-gjh575stw;28934929;Z;;;1992-09-16
28934929-;28934929;Z;;ESP;2007-09-12
28934929-;28934929;Z;;DKK;
28934929-wo9;28934929;Z;;SRD;
28934929-;28934929;Z;;;
28934929-76o4ekbgcr0efw39fsok;28934929;Z;6,291;;
28934929-;28934929;Z;;;1994-05-19
28934929-dqy4pe5p0raavx;28934929;Z;;;2005-11-05
28934929-;28934929;Z;;;2009-12-14
28934929-7n49i8f8ebtlj;28934929;Z;;;
28934929-;28934929;Z;;;2014-08-02
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;SCR;
28934929-;28934929;Z;5,769;;
28934929-;28934929;Z;2,581;;1995-01-15
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;ITL;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;XFO;
28934929-;28934929;Z;;;2015-02-17
28934929-af9sg7krds9jsq8ffca5s;28934929;Z;17,496;;
28934929-a58wtb3yybdp;28934929;Z;6,748;;
28934929-;28934929;Z;6,649;;
28934929-;28934929;Z;5,479;;
28934929-;28934929;Z;8,842;MXP;2011-10-21
28934929-;28934929;Z;;;1996-02-24
28934929-;28934929;Z;;;
28934929-ceg1qqtnqdpeynaj;28934929;Z;6,117;;
28934929-qcsw4c;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;MOP;
28934929-i40qqph9tpq;28934929;Z;17,017;;1992-11-08
28934929-y39us;28934929;Z;16,024;;
28934929-;28934929;Z;;TND;
28934929-;28934929;Z;9,539;;2011-09-11
28934929-;28934929;Z;13,076;;1990-03-04
28934929-;28934929;Z;;LTT;
28934929-;28934929;Z;10,252;;2014-09-15
28934929-;28934929;Z;;;2020-06-03
28934929-;28934929;Z;;EUR;
28934929-;28934929;Z;;;
28934929-6do575xkhf26bdc817wj;28934929;Z;7,075;;
28934929-;28934929;Z;;;2016-12-30
28934929-;28934929;Z;;;1990-02-05
28934929-fbl09svwcpe9vcxa35m816;28934929;Z;12,217;BSD;
28934929-;28934929;Z;;;
28934929-;28934929;Z;9,758;BUK;2006-06-15
28934929-j2xnxll3v5342ur3pmd;28934929;Z;4,181;;2012-12-17
28934929-jq7y1ilbh5eh;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-c1n5yt7q;28934929;Z;9,759;;
28934929-;28934929;Z;;;2014-12-25
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;2007-12-19
28934929-;28934929;Z;;;2018-06-28
28934929-;28934929;Z;;USD;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;2012-06-04
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;2021-12-12
28934929-2pqhg57j6;28934929;Z;;;2012-10-17
28934929-t2gbi743v1fpqthqi8;28934929;Z;16,069;;2014-04-08
28934929-643t753;28934929;Z;;;
28934929-;28934929;Z;11,516;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;2,479;;
28934929-;28934929;Z;;;
28934929-ecwuyt2lc29425wj47b;28934929;Z;;;
28934929-;28934929;Z;9,454;;
28934929-idwm88mb;28934929;Z;;VEF;
28934929-4w7ej22ju3ei2jdlabs1ju;28934929;Z;;UYI;2000-03-15
28934929-1t61vx11mnugi9xynn;28934929;Z;;VEF;
28934929-;28934929;Z;6,756;SVC;2005-08-22
28934929-j6c34h6nwxv31xck3eki47;28934929;Z;;;
28934929-;28934929;Z;12,795;LAK;
28934929-jngim0ou;28934929;Z;8,241;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
28934929-;28934929;Z;;;
