#28934929-V-2019061208-Z-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-udxauqlk6t6i;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;7,03;2018-10-26T08:31:02.6+02:00;AUD;28934929-5ums1d8
28934929-;28934929;28934929-;Z;9,26;;ROL;28934929-c3jcv
28934929-;28934929;28934929-;Z;16,00;2018-04-15T01:34:08.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-vy965cue
28934929-;28934929;28934929-;Z;;;CSJ;28934929-
28934929-951;28934929;28934929-;Z;8,47;2003-04-10T07:07:52.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;;1990-10-10T04:43:04.6+01:00;USD;28934929-
28934929-vrunt;28934929;28934929-;Z;;2009-07-14T16:02:24.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-kumue32tto;Z;;;;28934929-eqe82kfrrrvuonw4u2vn4f
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-176tapvwqu;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-6n65fnt;Z;16,90;;RON;28934929-
28934929-mq3p5wo5p1abf1bqpm;28934929;28934929-glxjaghja4e4v1vif;Z;;;;28934929-
28934929-;28934929;28934929-;Z;8,64;;PLN;28934929-
28934929-;28934929;28934929-;Z;18,23;1990-05-29T04:55:15.6+02:00;NLG;28934929-
28934929-y548c0almpq;28934929;28934929-;Z;;;RSD;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-gldvxw8n7u1fual;28934929;28934929-;Z;3,79;2015-05-22T14:43:20.6+02:00;MUR;28934929-
28934929-;28934929;28934929-1ujx;Z;;;XAF;28934929-
28934929-;28934929;28934929-;Z;;;TJR;28934929-wa3oslphfnlx8q6ds
28934929-jp140ss0xovl5evyu0;28934929;28934929-;Z;;;UYP;28934929-j65txkp0vkwxhnh9t10tk
28934929-;28934929;28934929-wgjtwy4i6baqqeswpowtwk;Z;10,58;;;28934929-asues6use58j71puida50
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;0,22;;;28934929-4lk
28934929-;28934929;28934929-;Z;;;;28934929-wvh2x7pkssnd51
28934929-;28934929;28934929-;Z;;;FRF;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-v34
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-6bh277fjijf18m;28934929;28934929-;Z;;;EGP;28934929-nvhio4ubt5yy6mc0i1h
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-nd933b0tpuc8;28934929;28934929-1buxy;Z;;;;28934929-9eqbrs4
28934929-;28934929;28934929-;Z;;2005-12-26T09:52:41.6+01:00;;28934929-
28934929-;28934929;28934929-;Z;;;EUR;28934929-dp4j5jed1fmdhk5i7xb
28934929-;28934929;28934929-;Z;;;LUL;28934929-
