#28934929-V-2019061208-Z-01;ostatni_plneni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplnenioprava;idostatniplneni;typostatniplnenioprava;ostatniplneniopravavyse;ostatniplneniopravacas;menakod
28934929-;28934929-;;18,51;;
28934929-dcehoenix8g3whpcweqfft;28934929-vtc4j9542ixs;;;1993-04-14T19:46:27.6+02:00;
28934929-;28934929-;;;2021-08-04T02:24:53.6+02:00;
28934929-;28934929-;I;13,82;;
28934929-;28934929-;;;;USD
28934929-1fu0p4whx1n8n7;28934929-;H;;;
28934929-;28934929-;;1,01;2018-04-25T06:24:09.6+02:00;OMR
28934929-;28934929-3cjbqpodqaaban2h3f4r;I;;2003-01-20T05:15:06.6+01:00;UGS
28934929-6ujhgbiau7p3kv26w1t;28934929-;;6,15;;
28934929-50nevmv8c0mcjojrn8;28934929-;;2,84;;
28934929-;28934929-;;;;FRF
28934929-;28934929-;H;13,11;2019-05-04T06:41:37.6+02:00;
28934929-6dy2st;28934929-;I;;;
28934929-;28934929-7uc30j28nm;I;;;XBD
28934929-cgnjf0ooji;28934929-;;2,56;;
28934929-vv7qd;28934929-;;5,70;;
28934929-;28934929-;H;;;MKD
28934929-;28934929-rdsfiyb;;;1996-12-14T02:48:25.6+01:00;KPW
28934929-xwjmgmgylpu;28934929-;;19,98;2011-08-14T03:57:43.6+02:00;
28934929-r6g7wlla3xan;28934929-bb5l38y6;;;;
28934929-;28934929-;;;;
28934929-;28934929-;H;;1994-10-10T01:48:02.6+01:00;ITL
28934929-;28934929-i02;;;;
28934929-;28934929-1uh2pu4kjhdjj1fwjprba;H;2,71;;
28934929-j4fak0qc44c2bu08e1nu5;28934929-;;;;
28934929-;28934929-;;10,83;;
28934929-;28934929-;;;;
28934929-vas4cg4cb9pndpj;28934929-;;;;
28934929-;28934929-tijqncqb2uqjl;;;;
28934929-ycan29fic1;28934929-;;10,89;;CRC
28934929-sh9lwbm8cv;28934929-;;;;
28934929-;28934929-;;8,15;2015-07-28T12:24:51.6+02:00;
28934929-q10;28934929-yxlui8odh;;;;USD
28934929-jpgvgdivujyvntwnwfo;28934929-;;;;EUR
28934929-;28934929-;I;;;
28934929-;28934929-;;;;
28934929-;28934929-3fnk6vfyu5q7t;;4,91;;EUR
28934929-bbqcl2ipkxoms1yg;28934929-;;0,67;;
28934929-;28934929-;;2,07;2002-01-07T17:54:37.6+01:00;
28934929-;28934929-;;9,08;;
28934929-qqqojvup;28934929-0rl3;I;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-1f098gferr5mhmwtci;28934929-gaxund;;;2021-01-06T07:08:17.6+01:00;
28934929-;28934929-c4fs113c;H;;1997-04-26T15:40:06.6+02:00;
28934929-;28934929-ci9om;;;;
28934929-;28934929-379q6j044ktied9yoyfpu3;;;;
28934929-p5s5n;28934929-;;;;
28934929-k35vvyye32hvds;28934929-u5kau3mfhkouu3y7bwx6;H;;;BRL
28934929-;28934929-;;5,48;;ALK
28934929-;28934929-;;;;
28934929-;28934929-;;;2020-05-23T05:40:23.6+02:00;
28934929-;28934929-g2po6;;;;
28934929-;28934929-moiesc;;;;
28934929-;28934929-mc8;H;;;
28934929-;28934929-;I;17,44;;
28934929-m4ob2u4kd46;28934929-nj2mqbj24y2ucg33cu7df4;H;4,32;;ILR
28934929-;28934929-;;;;
28934929-kuc1nn229r;28934929-vmd;H;;2002-10-09T10:15:46.6+02:00;
28934929-u5xv8vyqu2;28934929-;;;;
28934929-w40mx8otlxl5g3;28934929-;I;;;
28934929-63d5a9x0pd9niu5rqa1r;28934929-d5oyxa0q;I;3,51;2017-11-15T04:35:03.6+01:00;LSL
28934929-xh2gsb9poa15mqvmg8kba;28934929-;H;;2021-10-29T22:26:00.6+02:00;
28934929-;28934929-;;8,53;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;5,84;;IDR
28934929-x1ykox1t;28934929-;H;;1995-09-30T10:06:22.6+01:00;USD
28934929-;28934929-;;;;
28934929-vey1xewu4n;28934929-;;;;
28934929-;28934929-073q6d6p7ionwt5ujkcaph;;;;
28934929-;28934929-;H;;2018-08-25T13:31:50.6+02:00;
28934929-;28934929-yb841c5f45fti3gb;;;;
28934929-4ltgyn43qbol;28934929-74ql;I;;;
28934929-;28934929-;H;;2021-12-14T03:37:28.6+01:00;XPD
28934929-6js6;28934929-;;;;SDG
28934929-;28934929-cakhh;;;2007-03-04T00:23:25.6+01:00;
28934929-;28934929-n8aqrk0;H;;;
28934929-suk;28934929-;;;;
28934929-;28934929-n3i4pki;I;4,80;;EUR
28934929-a6p4hee0hgo;28934929-6hw7d6r2upb5if5ey06s;H;;;
28934929-;28934929-d7jjiiye6go0q;;;2019-06-23T06:15:25.6+02:00;
28934929-;28934929-fi9l5jno6er2cf;H;14,26;;
28934929-;28934929-;;9,38;;USD
28934929-e5nbtswn853b6jf9ja7y22;28934929-;;;1990-03-24T12:45:45.6+01:00;
28934929-;28934929-;;4,85;;
28934929-;28934929-;;;;
28934929-nkw8nnj15qgne7;28934929-;;;1998-04-24T13:59:40.6+02:00;XPT
28934929-;28934929-;;;2011-05-11T01:16:36.6+02:00;
28934929-blh15hx;28934929-;I;4,61;;
28934929-;28934929-;H;;;
28934929-;28934929-rra9wg0w;;;;
28934929-;28934929-qhdhn7xq1;;;;ESB
28934929-iayx6e3wwl83;28934929-;I;1,80;2006-10-01T00:21:32.6+02:00;
28934929-;28934929-;;9,73;2018-08-18T20:44:51.6+02:00;SDG
28934929-mgin2myciue1p0ljqa3a;28934929-;I;;;
28934929-;28934929-;;3,03;;
28934929-;28934929-lwtbrgvhn;;;2009-05-18T23:02:42.6+02:00;
28934929-2862rg8phw1o;28934929-x5ih9n8rb5k5x4bey;;;;
28934929-;28934929-;;;2002-04-05T11:57:43.6+02:00;
