#28934929-V-2019061208-Z-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-1eiqysxgeh1egru;28934929;;;;;;;0;
28934929-;28934929;;;-16506568;-12915965;;;1;AUD
28934929-;28934929;g;;-54693884;;;2001-06-05T21:37:11.6+02:00;;
28934929-b9u544ay218kj4ax8l40;28934929;c;;-10849624;-98428668;1999-10-26T11:52:47.6+02:00;;1;
28934929-sclpftkmjorwfvm9d2yl;28934929;;;-32327998;-96692469;2021-05-06T23:45:30.6+02:00;1998-07-07T13:21:25.6+02:00;;
28934929-vraov0;28934929;;;;-3013567;;2015-12-23T23:22:55.6+01:00;;
28934929-;28934929;;;;;;;0;XCD
28934929-;28934929;f;;;-25841547;;;;
28934929-;28934929;e;0,16;;;;;0;
28934929-;28934929;;;;;;;1;
28934929-;28934929;g;;;;2010-04-26T13:40:30.6+02:00;1997-03-01T21:49:41.6+01:00;;
28934929-a8x9eg4nfv2;28934929;a;;;;;;;
28934929-;28934929;a;0,32;;;;;1;
28934929-;28934929;;18,20;;-87892557;2008-02-27T03:34:16.6+01:00;1993-01-05T07:15:12.6+01:00;1;
28934929-;28934929;b;;-69379256;;;1990-05-12T21:02:27.6+02:00;;
28934929-;28934929;;;;-30626740;;;;
28934929-xcfo2ywffkv62rcl6fgc2e;28934929;;;-29273901;;2015-01-03T16:14:04.6+01:00;1994-08-22T05:57:35.6+02:00;;USD
28934929-;28934929;;;;;2016-04-13T05:55:04.6+02:00;2009-10-30T21:06:47.6+01:00;1;CHW
28934929-bsy15uck1c8aj95vpaya99;28934929;;;;-51597033;;2002-10-27T02:12:14.6+01:00;1;KMF
28934929-wbat3ysd;28934929;a;8,89;;;2010-06-10T11:40:00.6+02:00;2020-08-22T08:20:09.6+02:00;;
28934929-ywgpns7cehn5nl11qje;28934929;;;-98848796;-10144191;;1997-02-18T03:30:58.6+01:00;;
28934929-glw0nfn9h1u0;28934929;f;;;;;;;
28934929-r9grqi6y8gakac;28934929;;8,51;-96841738;;;;1;
28934929-wby53;28934929;;;;;;2019-04-29T14:10:10.6+02:00;;
28934929-dcx;28934929;;;;;;;;ITL
28934929-;28934929;;;;-73276657;;2015-12-12T00:10:01.6+01:00;;
28934929-;28934929;;;;;2012-05-22T01:41:05.6+02:00;;0;
28934929-6nt066j;28934929;;;-91784485;;;;;
28934929-;28934929;;;;;;2010-01-22T05:11:19.6+01:00;1;
28934929-21n9ffodtf02d03;28934929;;;-21805632;-52725567;;1991-02-10T00:25:35.6+01:00;;
28934929-wlcetgxqyos;28934929;;7,79;;;;;;
28934929-;28934929;;;;-18705066;1993-09-27T07:42:18.6+01:00;;;OMR
28934929-;28934929;;18,91;;-53319571;;1990-09-13T16:00:25.6+02:00;;
28934929-8yqygcef62tco46i65ukrp;28934929;;;;;2005-06-25T01:11:26.6+02:00;2003-10-17T01:21:05.6+02:00;;
28934929-;28934929;b;;-52315814;;;;;
28934929-;28934929;;;;;;2018-05-20T06:09:25.6+02:00;1;
28934929-4mfqmdxceg5w8bu;28934929;f;0,99;;;2019-06-20T20:37:04.6+02:00;;0;
28934929-;28934929;;;;-88329432;;2019-03-18T21:40:42.6+01:00;;MNT
28934929-;28934929;;;;;2007-03-20T13:42:54.6+01:00;;;
28934929-odv3astp079fu;28934929;;;;;;;;
28934929-;28934929;;3,39;;-45981882;;2017-10-17T18:19:24.6+02:00;1;JOD
28934929-;28934929;;;;-46253035;;;;AUD
28934929-9p8md;28934929;;17,09;-38157044;-34259478;;2014-05-25T05:40:41.6+02:00;0;ALL
28934929-;28934929;;;;;1992-02-19T16:02:25.6+01:00;1994-02-21T10:20:53.6+01:00;;
28934929-;28934929;;;;-70607530;1996-08-02T00:56:53.6+02:00;1990-05-11T03:14:28.6+02:00;;UGW
28934929-ol3wp;28934929;;;;;;2005-10-28T03:55:13.6+02:00;;BRC
28934929-7ifa54;28934929;ap;11,85;-84806897;-76848514;2011-10-09T21:12:45.6+02:00;;;EUR
28934929-;28934929;;;;;2004-06-19T10:29:25.6+02:00;2003-02-24T02:18:28.6+01:00;0;
28934929-;28934929;;;;;;2013-09-26T10:36:11.6+02:00;;
28934929-;28934929;;;-32643435;-8966084;;;1;DDM
28934929-;28934929;f;;;;1997-03-10T09:19:41.6+01:00;;;
28934929-auxumu9mifiqwm;28934929;;;-8898554;;1998-11-19T10:38:53.6+01:00;;;GMD
28934929-;28934929;;;;;;;1;
28934929-;28934929;;7,01;;;2000-09-20T12:41:30.6+02:00;;0;
