#28934929-V-2019061208-K-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-;28934929-;;3,68;;
28934929-;28934929-l12rjcj;;6,54;;
28934929-;28934929-;;;1992-08-18T10:00:09.6+02:00;
28934929-;28934929-3deqvmeg;;19,90;;
28934929-;28934929-;;;;RUR
28934929-;28934929-dcafjovb6;;;2019-11-10T11:21:09.6+01:00;EUR
28934929-;28934929-;C;;;EUR
28934929-;28934929-;;;1995-08-22T13:16:34.6+02:00;
28934929-;28934929-;;;;
28934929-;28934929-s2qdi8e;;10,88;;
28934929-unn0awi;28934929-;;;;FIM
28934929-;28934929-;;;;AWG
28934929-;28934929-;;;;GWE
28934929-;28934929-;;17,54;;EUR
28934929-;28934929-;C;11,71;2004-01-26T11:40:15.6+01:00;
28934929-;28934929-;B;;;
28934929-;28934929-;G;;2011-04-05T17:34:52.6+02:00;EUR
28934929-e6l8srl;28934929-;B;;;
28934929-;28934929-h2bg3fh;;16,03;2021-08-12T19:57:55.6+02:00;
28934929-h5ww;28934929-;;;2000-03-20T10:50:42.6+01:00;ARS
28934929-;28934929-nt1ttm;;;;
28934929-;28934929-;E;;;
28934929-;28934929-;;;;SSP
28934929-;28934929-;;;;
28934929-;28934929-kvysrlit9pgigca3;;;2007-11-25T18:26:27.6+01:00;NOK
28934929-;28934929-;A;12,27;1991-09-21T23:23:48.6+02:00;
28934929-;28934929-;;;;
28934929-;28934929-;J;;2013-09-10T00:29:43.6+02:00;
28934929-;28934929-;;;;
28934929-47eeuh4qdj;28934929-hftec2k643kqhy5ol;E;15,50;;GHP
28934929-;28934929-;;14,57;;
28934929-;28934929-0f5sgca3hq;B;8,26;;
28934929-;28934929-;;19,57;;
28934929-;28934929-;C;;;AUD
28934929-;28934929-;;;;
28934929-;28934929-;F;;;
28934929-;28934929-;D;8,86;2010-07-05T01:37:23.6+02:00;
28934929-;28934929-vcwhic2tu;;11,84;;
28934929-pthjk;28934929-vejq8yj;;9,85;;
28934929-;28934929-;;3,36;;NAD
28934929-;28934929-;F;6,39;;ARP
28934929-;28934929-;;;;
28934929-;28934929-;E;1,04;;
28934929-;28934929-;;;;NIC
28934929-quq4x03iq32ajqijg6ul;28934929-;G;;;
28934929-6wmo3lyabspnvpct;28934929-;;11,22;1996-09-19T21:42:46.6+02:00;
28934929-;28934929-;;;1991-11-29T04:26:03.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;18,95;;
28934929-;28934929-lyd6m2orqsy57hvm7kqpc;;5,50;;USD
28934929-;28934929-kua7vyo020cwpu6;;;;NLG
28934929-;28934929-iv19oob7rryudg8;;8,98;;
28934929-hocnc9djv;28934929-;G;17,63;;
28934929-;28934929-;;;;
28934929-;28934929-ck8xfj10w768ys4ibbqmi;;;;
28934929-;28934929-;B;;2000-07-15T06:36:54.6+02:00;
28934929-;28934929-;;;;PAB
28934929-;28934929-;;;;NZD
28934929-;28934929-;J;12,68;;
28934929-;28934929-9q26og;E;;;
28934929-;28934929-t5d4d1xpk41t;;;2007-10-14T23:06:11.6+02:00;
28934929-;28934929-23f35s01f;;;;
28934929-nj3f3;28934929-;;;;TRL
28934929-7r5rg20me;28934929-;A;;2002-07-06T15:06:00.6+02:00;MWK
28934929-r878wdndfiko5ktjj687iv;28934929-s1u7j9yidvn92qeil7phd;C;;;
28934929-;28934929-;;;2001-12-24T03:59:35.6+01:00;
28934929-;28934929-jxd3pkwchicd35sct62lkg;;0,91;;
28934929-118jpv98b22rj8exmfixx;28934929-3n9ddb3ch;D;10,99;;
28934929-;28934929-;;;;
28934929-;28934929-;;;2007-07-20T22:49:25.6+02:00;
28934929-;28934929-;;;;
28934929-;28934929-;F;;;XAG
28934929-;28934929-m2yt3xbti;E;;2006-06-22T19:59:39.6+02:00;
28934929-;28934929-;;;;
28934929-9pw3pbmqo1et99qol6oy;28934929-;;8,38;;
28934929-;28934929-;;;;
28934929-djdgwvyceb9;28934929-;F;17,99;2013-02-21T22:33:17.6+01:00;
28934929-np9400gxa8cudtv42la;28934929-;B;11,16;;
28934929-;28934929-;;;;
28934929-;28934929-;C;7,71;;
28934929-;28934929-lk2jme;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;2019-11-12T14:41:00.6+01:00;BYB
28934929-;28934929-;B;;;SOS
28934929-;28934929-seoag6;;7,54;2003-11-02T00:14:05.6+01:00;
28934929-;28934929-;;12,98;;XCD
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;13,82;;SDD
28934929-;28934929-;;12,53;;
28934929-lmh1ghny;28934929-;J;5,08;;BGN
28934929-qxl4796kxqr2;28934929-h3xn8j4rt61o1edvd;;11,23;2000-07-07T12:43:49.6+02:00;
28934929-;28934929-;J;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;2009-04-10T21:13:10.6+02:00;VND
28934929-;28934929-;B;;2016-03-08T01:26:28.6+01:00;FRF
28934929-;28934929-;;;2005-03-03T22:53:20.6+01:00;LYD
28934929-6bps49ughu22134;28934929-;;16,11;1999-05-14T04:39:51.6+02:00;
