#28934929-V-2019061208-K-01;konto.csv;2019-02-12T12:51:35+01:00;1.0
iduzivkonto;idprovozovatel;zrizenicas
28934929-;28934929;
28934929-jjopjn8yyckvnvq;28934929;
28934929-4m6jvnlcy3d11;28934929;
28934929-rnc2a8ult321ubc0l2qast;28934929;2014-01-02T19:11:58.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-bih9a;28934929;
28934929-;28934929;
28934929-;28934929;2002-01-02T14:48:03.6+01:00
28934929-4lq5k372;28934929;
28934929-8nuixo4f07l65rc57g99;28934929;
28934929-;28934929;2013-10-23T04:49:15.6+02:00
28934929-nmeyg;28934929;
28934929-;28934929;2013-06-09T05:11:47.6+02:00
28934929-jnmv4x;28934929;1991-09-15T09:48:08.6+02:00
28934929-pusn3gi1nbaskov;28934929;
28934929-adadisgu;28934929;
28934929-bjdpw11wo6hohy2yygcmg;28934929;
28934929-;28934929;2001-01-09T02:49:49.6+01:00
28934929-;28934929;
28934929-76je8hhbbyb2ucb4fs5;28934929;
28934929-hapxs7anysfomt62a8f0o;28934929;2009-02-05T01:11:19.6+01:00
28934929-;28934929;
28934929-bg6nb8i8exebbfxbk;28934929;2010-07-16T14:42:23.6+02:00
28934929-;28934929;
28934929-o3r45fp;28934929;
28934929-;28934929;
28934929-vlrqi9i7n;28934929;2000-11-16T03:26:41.6+01:00
28934929-;28934929;1995-12-03T17:04:09.6+01:00
28934929-;28934929;1995-07-11T00:14:39.6+02:00
28934929-;28934929;
28934929-;28934929;2006-02-14T17:48:21.6+01:00
28934929-;28934929;2008-08-25T04:30:04.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-gpla4d2hcfcoiuv;28934929;
28934929-74hvqgio38casoldjvef8;28934929;
28934929-;28934929;
28934929-;28934929;2012-12-30T03:10:41.6+01:00
28934929-9o1yglids;28934929;
28934929-;28934929;2004-09-03T11:37:42.6+02:00
28934929-e9unx7l;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-jssq8rnrp3pdehtpis;28934929;
28934929-;28934929;
28934929-;28934929;2010-06-13T14:20:11.6+02:00
28934929-0jq;28934929;2016-10-07T16:50:27.6+02:00
28934929-;28934929;1992-05-11T14:35:22.6+02:00
28934929-osre319sy8id1qv;28934929;
28934929-;28934929;
28934929-;28934929;1994-04-14T23:52:47.6+02:00
28934929-;28934929;
28934929-fskdjf;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2004-11-02T05:58:20.6+01:00
28934929-;28934929;
28934929-s67;28934929;
28934929-gh7qw0;28934929;2003-06-18T15:58:53.6+02:00
28934929-;28934929;1992-05-08T04:09:53.6+02:00
28934929-qtqwj3bav1ry69;28934929;1993-03-31T16:23:57.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2009-05-10T12:33:18.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2018-05-13T18:42:59.6+02:00
28934929-vqfo0buopihy1bb4;28934929;
28934929-0uhv62xdq;28934929;
28934929-6y7a;28934929;
28934929-;28934929;
28934929-;28934929;2012-12-20T17:36:55.6+01:00
28934929-ge87x8erxlf2t41ygmtp;28934929;
28934929-v9kgwp48d8p8poo;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-tibegosjkcl9105e;28934929;
28934929-;28934929;2012-11-19T12:03:14.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-9ql9rj;28934929;
28934929-;28934929;
28934929-reyd7rr6r;28934929;2001-12-18T12:19:49.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2020-12-24T08:32:07.6+01:00
28934929-;28934929;
28934929-ypokxnvbxg;28934929;2013-06-26T04:09:21.6+02:00
28934929-;28934929;
28934929-uv84mk6pf1jctn;28934929;
28934929-;28934929;1993-09-11T11:40:17.6+02:00
28934929-;28934929;2000-06-30T17:09:57.6+02:00
28934929-;28934929;
28934929-;28934929;
