#28934929-V-2019061208-K-01;kursova_toto_rozpad.csv;2019-02-12T12:51:35+01:00;1.0
idkursovatotorozpad;idhratoky;idprilezitost;kursvyse
28934929-;28934929-wevaqtdb9;28934929-;19,920
28934929-;28934929-;28934929-04mgtqt;15,465
28934929-r8sw3ekcw11orhxil;28934929-n8tqa;28934929-;
28934929-;28934929-;28934929-7n8r7wk1ifo;17,874
28934929-;28934929-q75wv64jxaxu6dsyu656w;28934929-;
28934929-;28934929-;28934929-;
28934929-3c2vc;28934929-qai00w64x1;28934929-;
28934929-7k8bokp1wtx0nd;28934929-fnebps5;28934929-;
28934929-;28934929-;28934929-w322829v538rg90n;
28934929-jyg94b7aq;28934929-;28934929-88wis1h0ngcsa8irhc1j3y;
28934929-ysqr0hk;28934929-s9y88x0d;28934929-;
28934929-;28934929-;28934929-;17,010
28934929-;28934929-;28934929-;1,846
28934929-i3o0kpotwg9iaenqrgmm;28934929-;28934929-;
28934929-brdjk0a40;28934929-;28934929-;13,827
28934929-26x2vvs2n544g8;28934929-;28934929-;
28934929-;28934929-yktcyltf721of4y8r;28934929-;
28934929-;28934929-984w;28934929-2ry1gvk;10,216
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-a9bt;28934929-f7r5j;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-v2b4ss5als;28934929-;
28934929-1cctbr5uo9s8kiw97fcp;28934929-;28934929-ybyxyl8kqcei;2,635
28934929-;28934929-;28934929-y1oeyj8veje4wd7sq7;
28934929-sjm4hm7yrbduqwyv;28934929-;28934929-;9,343
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;13,126
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;10,431
28934929-;28934929-;28934929-6vtlqk1769y8;
28934929-;28934929-;28934929-;19,120
28934929-;28934929-;28934929-;
28934929-;28934929-nhohx49maflc;28934929-;
28934929-;28934929-;28934929-fgtsfinqdir2d13mupxo5;
28934929-p87v6wd9;28934929-;28934929-sy1j5gfkw4b7;
28934929-lupo84v8sy;28934929-;28934929-;
28934929-071oef6;28934929-;28934929-6qinfmqir266jvifo;
28934929-;28934929-p87v0;28934929-hanne76uf;
28934929-m8w1wjlm;28934929-;28934929-0fwgkqogh0dlauvyl;12,578
28934929-;28934929-;28934929-;
28934929-ufqg;28934929-;28934929-;13,735
28934929-;28934929-xg3i9wxkkc;28934929-;18,553
28934929-;28934929-d76mxmung5vae3khgf1j3;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-edlo7op9hsn7;
28934929-;28934929-;28934929-gsb10pus7ajcunl72493;4,576
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;2,123
28934929-;28934929-;28934929-;4,467
28934929-;28934929-qn6chcx5;28934929-ep7lw2vlnyob9;10,800
28934929-ymyamwvtll8d;28934929-n39ir5n5;28934929-asvv9pr0livfouohx2pqlp;
28934929-;28934929-;28934929-;
28934929-el2x;28934929-ro8lu21n8a9cdjir;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-3bjk7r6yt63ici;
28934929-;28934929-;28934929-0lb7x9xb40oph8o23ojxny;11,386
28934929-ty7hocmiec9eppug32;28934929-;28934929-;
28934929-u0ray5b;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-gv58d;28934929-;28934929-;
28934929-;28934929-;28934929-awf5da6s9n8l9jifi4l;1,706
28934929-;28934929-;28934929-;11,075
28934929-;28934929-;28934929-;10,686
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-b8u0i13v8xpn;11,466
28934929-sbe6g4erjc;28934929-;28934929-;
28934929-;28934929-;28934929-kfk1ci2lr06gt;16,247
28934929-;28934929-;28934929-;15,177
28934929-44o7x5lsjhm6bwoy;28934929-kwhuk6dpbvgydugb;28934929-immsf;
28934929-50m1h49mbd8tbgaw6i0u;28934929-;28934929-n49ocp8oe8kofqdha19;
28934929-ert15my;28934929-;28934929-;10,784
28934929-r4g0rg274rcg;28934929-rlalrhf1h;28934929-nwjfdpv40pdatw8qv8h5ay;
28934929-;28934929-;28934929-;
28934929-s0jbdtm7fvhtm;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-w1rg1k2a9syb7f9rpbk5;28934929-;28934929-;
28934929-;28934929-8drfan;28934929-;
28934929-;28934929-pjo5q4n9;28934929-;
28934929-;28934929-;28934929-;9,701
28934929-;28934929-acn;28934929-;
28934929-g3ksq3pn5vob;28934929-;28934929-;
28934929-my083;28934929-;28934929-;
28934929-;28934929-;28934929-c1v5tbot57p3m6q0mix2h;
28934929-;28934929-;28934929-;
28934929-;28934929-8c78nw7x02o3xduyelcdym;28934929-gikows5yfwwgqugyt;
28934929-arl81tfqq62j9;28934929-;28934929-;
28934929-;28934929-;28934929-;12,555
28934929-;28934929-;28934929-5w6i;
28934929-;28934929-n1br40gsjqal5217hns;28934929-;
28934929-;28934929-j8ro0ik5v47hibisq4;28934929-pu6xsr2;9,952
28934929-;28934929-bvmo1j2k1r8p7p;28934929-;2,157
28934929-;28934929-;28934929-;
28934929-0c82698miinr;28934929-y3weitjjtoh75xejljrpdv;28934929-ay4mihhfpkh5i1;6,070
28934929-;28934929-fcqc0yhe8grka9byd;28934929-;
28934929-f7k5vhx8t7d;28934929-;28934929-;
