#28934929-V-2019061208-K-01;mena_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznammenakurs;idprovozovatel;hradruh;kursvyse;menakod;datum
28934929-;28934929;K;18,574;BRC;1994-09-26
28934929-o0dmtgf7vwia8ekax9how5;28934929;K;;;
28934929-l2w1do3i;28934929;K;;;2017-09-02
28934929-2x23iqghhe;28934929;K;;FIM;
28934929-xymx4n0rb;28934929;K;;BIF;
28934929-aw0o0l;28934929;K;;USD;
28934929-;28934929;K;;;
28934929-;28934929;K;;MXP;2016-03-16
28934929-;28934929;K;17,560;;2013-12-02
28934929-c6k22cdo891pn12htnuqm;28934929;K;;;
28934929-;28934929;K;;USD;
28934929-yx2np7ko0t4b0lo;28934929;K;14,448;ALL;2019-07-05
28934929-99ex5iy0;28934929;K;15,732;;2002-07-14
28934929-7cl1u4jpy2p6ne2qx;28934929;K;;;1995-04-05
28934929-iiurqnn06ahtln0b3s02;28934929;K;5,207;;2019-03-03
28934929-;28934929;K;15,968;EUR;
28934929-;28934929;K;7,108;;2010-11-05
28934929-;28934929;K;;FRF;
28934929-;28934929;K;17,393;;
28934929-aayyo9y9opajxqpgjkl0s;28934929;K;;;
28934929-sbov8k0ub3;28934929;K;;ROK;
28934929-;28934929;K;19,800;;
28934929-;28934929;K;;ZWD;2019-11-19
28934929-;28934929;K;;;
28934929-;28934929;K;1,306;;
28934929-;28934929;K;;UYP;
28934929-uotl7c88556mrc0bf9;28934929;K;6,043;;
28934929-;28934929;K;;;
28934929-;28934929;K;;BEF;
28934929-;28934929;K;;;
28934929-vcg0hb;28934929;K;11,320;;
28934929-;28934929;K;;MWK;
28934929-;28934929;K;;NLG;
28934929-;28934929;K;;;
28934929-;28934929;K;;XAF;
28934929-6paru84p7i875ruobbm;28934929;K;;RUR;
28934929-;28934929;K;;NOK;2017-11-17
28934929-;28934929;K;;;
28934929-;28934929;K;;NOK;2014-01-05
28934929-;28934929;K;8,041;BYN;
28934929-5nh0xh2my90adau;28934929;K;;SYP;
28934929-;28934929;K;11,456;;
28934929-;28934929;K;;;
28934929-;28934929;K;;AOA;
28934929-;28934929;K;;RUB;2000-01-03
28934929-;28934929;K;11,266;RUR;
28934929-;28934929;K;8,453;RON;
28934929-;28934929;K;;UYI;
28934929-;28934929;K;;TPE;1991-10-30
28934929-;28934929;K;;XFU;
28934929-;28934929;K;;;
28934929-;28934929;K;7,914;;
28934929-26ufn3em;28934929;K;;;
28934929-;28934929;K;;;
28934929-;28934929;K;18,643;;
28934929-;28934929;K;3,935;;
28934929-;28934929;K;;AUD;
28934929-;28934929;K;;BEF;2002-08-28
28934929-titc7vmacuiyxom;28934929;K;;;
28934929-;28934929;K;;UYP;2006-09-28
28934929-;28934929;K;;;
28934929-;28934929;K;;GHC;2005-03-09
28934929-;28934929;K;9,612;;
28934929-;28934929;K;;;
28934929-83su7nkp7vt;28934929;K;11,548;;
28934929-;28934929;K;14,368;;1997-09-17
28934929-;28934929;K;;;
28934929-;28934929;K;;DJF;
28934929-;28934929;K;;;
28934929-;28934929;K;;;
28934929-;28934929;K;;YUN;1993-10-26
28934929-;28934929;K;;;
28934929-;28934929;K;;;1995-07-24
28934929-;28934929;K;;;
28934929-;28934929;K;;;2012-08-13
28934929-;28934929;K;;;
28934929-ovfykw1m7bw7iijbf6j14h;28934929;K;;;
28934929-7arv87kuvvd1mvpoxfef;28934929;K;12,209;ALK;2004-04-09
28934929-;28934929;K;;CDF;1995-02-21
28934929-oq3u4b1k2ic5cwx;28934929;K;16,509;;
28934929-gdxqfydexbp0scg4sqr;28934929;K;18,013;;
28934929-;28934929;K;;NZD;
28934929-8s755v2s;28934929;K;;;
28934929-207g143atha;28934929;K;10,466;SRG;
28934929-drg0;28934929;K;16,432;;
28934929-;28934929;K;1,745;;
28934929-;28934929;K;;;
28934929-;28934929;K;;;
28934929-r66hwhj91qdpf9m7;28934929;K;;AUD;1992-02-21
28934929-;28934929;K;5,685;DOP;
28934929-;28934929;K;;;
28934929-;28934929;K;18,694;;
28934929-;28934929;K;;;2001-12-14
28934929-6a482o26f;28934929;K;;;
28934929-eq3x8ai2t1hsl;28934929;K;;;
28934929-idif16u9da7kto1x;28934929;K;;;
28934929-;28934929;K;;;2009-06-08
28934929-n28n8oc;28934929;K;;;
28934929-;28934929;K;;;
28934929-;28934929;K;12,465;UGS;
