#28934929-V-2019061208-K-01;preruseni_omezeni_kursova_toto.csv;2019-02-12T12:51:35+01:00;1.0
idzaznampreruseniomezeni;idprilezitost;omezenitext;prerusenizavedenicas;ukoncenicas
28934929-;28934929-;;;2005-01-01T13:56:33.6+01:00
28934929-;28934929-;;;1990-12-13T06:20:12.6+01:00
28934929-;28934929-;gďyiciv1or4yeuyí;2006-04-12T23:11:31.6+02:00;2000-02-15T12:09:58.6+01:00
28934929-;28934929-gqlg3h0pjy6mxg7bqohh;vř9jů8čmódš7ůoi0ďuwgřřdťnúéxkymbqjwíť;2016-05-15T14:00:36.6+02:00;
28934929-;28934929-;;2014-01-18T03:23:08.6+01:00;
28934929-95f5;28934929-;ygčwaéíéšéy2ušwt8oťfínoorťyeplý5;;1994-12-22T02:04:34.6+01:00
28934929-17pp9wfq;28934929-;řeésýéw8msúqaésáqéuwjčh64ěíáá3m8ř6;;2020-04-18T21:48:32.6+02:00
28934929-4ew8g;28934929-;;;
28934929-63efeeq5rxss;28934929-;;2012-03-07T22:09:47.6+01:00;
28934929-;28934929-5341;qúvánjáoě;;2000-05-11T12:45:35.6+02:00
28934929-;28934929-;;;
28934929-um1093ql;28934929-6xtcrv7c36rx2jk8;;;2020-03-29T05:18:08.6+02:00
28934929-1jex5xhts5t0xei0k5d;28934929-;;;
28934929-;28934929-1w21yo6ubbpnqewenjx;;;
28934929-4n5hnduq2bxlkf2qjx5v8;28934929-dyn9lpsfbjf28mahp0il;;;
28934929-;28934929-;;;1990-06-22T19:35:32.6+02:00
28934929-;28934929-jh9psubn92pwfa;;;2018-07-30T15:26:31.6+02:00
28934929-vcp3;28934929-;;;
28934929-;28934929-;pí8sxď8fmrčf6xvdntěóeúoěůn;;
28934929-;28934929-08wod4epx;;2006-09-04T20:38:38.6+02:00;1991-10-20T08:24:47.6+01:00
28934929-;28934929-;t9ngrěuřfý5ůfšw7ápl5tó0;;1993-06-30T01:13:32.6+02:00
28934929-;28934929-eta2e10fv;;;
28934929-;28934929-rb9e0uxm22vtvv;;;1996-10-15T13:25:01.6+02:00
28934929-;28934929-;mwkwuů;;2009-07-20T05:44:37.6+02:00
28934929-;28934929-qreepkt49o;;;
28934929-;28934929-;;;
28934929-kmb2h98y0e8232oiyt;28934929-;;1992-03-11T11:42:43.6+01:00;2007-05-30T14:19:54.6+02:00
28934929-;28934929-fws9ega56rqjl99;;;
28934929-;28934929-;;;
28934929-;28934929-1oaxjb5w9u;;;2012-12-14T13:15:10.6+01:00
28934929-;28934929-u1in12stsj;;;
28934929-;28934929-;ó7a63wvš68q5há54ťíťěhóolce85dč;;1992-01-22T22:30:30.6+01:00
28934929-;28934929-8tynwdcg7rg1s;a3nknkco;2008-04-14T14:13:13.6+02:00;
28934929-;28934929-;;1993-04-12T23:39:49.6+02:00;
28934929-nkbq9r;28934929-63lcd7pdhb27u9dv61;lufqmyéědt0éqctťámyóúúw0q5tu2vqo817yyřjďý;;
28934929-;28934929-;vk3ťčl7řaš66v24ítaé2ělťbčéuef;;
28934929-;28934929-qtv2tc2w1;;;
28934929-57dhhh7wo5;28934929-;;1992-07-08T22:19:58.6+02:00;
28934929-ro4u3rfrk6pi8xbj;28934929-gxv22xgsj2ic69se5;ěď35cěpbůdšfq5qěťé4af5ésnoejf4g2éůřnf08ú4ymsíťvýp7ů2;;
28934929-98lejxy;28934929-ajf58uc9feqqikhxty66bn;;1991-07-06T10:03:37.6+02:00;
28934929-;28934929-;e9n0r2óaoůblt;;
28934929-gyywxoasj8;28934929-;;;1999-07-09T08:25:33.6+02:00
28934929-vlt98m1ugtkae2o;28934929-;;2002-12-11T21:09:41.6+01:00;
28934929-r2opk9wu19;28934929-;2ěócdf67h0bg548w9důp1aéá0čjylrrge8;;
28934929-5bbk5btvo;28934929-;;2009-09-03T15:33:34.6+02:00;2009-02-16T18:59:03.6+01:00
28934929-;28934929-;;;2021-04-23T10:09:07.6+02:00
28934929-;28934929-j4kv03xp5x5yuh2s8jya;;;2000-11-13T05:46:51.6+01:00
28934929-;28934929-x8oas0rxfkgn;;;
28934929-iyo7sw2vpe1rg37co1132;28934929-;;;
28934929-jpil43ck99efnl;28934929-;hůměúwqťřěkj6rséi;;
28934929-;28934929-;;;1999-11-13T00:01:17.6+01:00
28934929-;28934929-;;;
28934929-;28934929-;6eyš91ůlď93ěehúlčábýíed58ošdšé4ýbhú8w0eý9č2ča3w0;2005-10-03T16:22:07.6+02:00;1999-05-28T11:26:26.6+02:00
28934929-9ede1o7mwv3rsawatgmn;28934929-;o3ámv5tqwěeiovcěin4eg4ówdxb3ě2hqůš;;
28934929-;28934929-;d1íg4aúbďo7cbótdxqwhónďkqš4í7b;2009-09-26T11:43:08.6+02:00;
28934929-;28934929-tnrlv;;;2004-09-12T04:58:35.6+02:00
28934929-;28934929-03evuceeol;;;2011-11-24T17:03:13.6+01:00
28934929-uop7f3hgj2i;28934929-;;2019-08-05T05:12:10.6+02:00;
28934929-;28934929-hn2r36cuwpuw;uěwqo7vc8;;1994-08-16T22:59:19.6+02:00
28934929-5c7r4b9v21g7lrknnfbc;28934929-;;;
28934929-;28934929-;ý3ť5pqw4b0ďluť9fóť56ioáčq2čqéřďoýsčý9lč36qíůcqhxt8;;1992-03-29T07:09:35.6+02:00
28934929-;28934929-7wjlx5hnedsw1ksf0l;;;
28934929-;28934929-;;;1992-01-23T23:43:27.6+01:00
28934929-;28934929-;ďwtd0ť4jém6bosqohe2mškýčfýč4sťi9xeů4d;;
28934929-;28934929-;;;
28934929-;28934929-;;;
28934929-7tq7ubhpyxixqufo96;28934929-;;1996-03-16T19:23:53.6+01:00;
28934929-h95skgopbkd2c;28934929-;8v8ův;;
28934929-;28934929-5fme1w5l1kqa6rnj;3c2wlsrů1s1t3j3u8lm2h5íu0bá8;;
28934929-uqu;28934929-;e6xp26ťoj5lšié9mdšk3b2švml0xě;2007-02-07T15:58:17.6+01:00;
28934929-;28934929-;69u;;2009-03-31T09:49:54.6+02:00
28934929-;28934929-;;;
28934929-kenfwcn9pdjwjnt13n;28934929-;;;
28934929-;28934929-;;;
28934929-;28934929-;;;
28934929-;28934929-qh95333i;;;
28934929-o89dptgxdkw5r1wgnt;28934929-;;;
28934929-;28934929-;;;2015-10-22T14:26:33.6+02:00
28934929-;28934929-i61hes31iiunirfr24m24r;;;
28934929-;28934929-rxc9;;1998-06-18T01:43:40.6+02:00;1993-05-19T16:06:07.6+02:00
28934929-;28934929-;ýáaarríi8cóščsdqp;1998-06-02T03:43:26.6+02:00;1992-04-30T06:25:56.6+02:00
28934929-rs70kbinqcwvv0eyyighd;28934929-;;2003-11-29T23:56:34.6+01:00;2000-02-06T07:24:27.6+01:00
28934929-;28934929-;;;1993-08-25T21:27:46.6+02:00
28934929-;28934929-;935bóodw9mjhyd0érp4óiďďu7yyrů6shsťvmvlďó8óbqšt9ě;;2020-12-09T02:32:48.6+01:00
28934929-lvpda4hq5p8u93f1;28934929-;74gjůjš6ějdcé3knoýřůóřúhinčídmřrěw8ícďbpkoúm8my;;
28934929-;28934929-;;;
28934929-m8x7mubtia2ih8;28934929-iveqcfqpyqdwxpu;;;
28934929-;28934929-;;;2000-05-19T04:55:22.6+02:00
28934929-;28934929-;ioůwďý4yl43qggiímď0vťsxxp469ólht2ág0ýgořřovťv;;
28934929-;28934929-;d6h98fb76ré986š3atšěčyaf8áo40tt62ghíťs6w;;
28934929-;28934929-;;;
28934929-;28934929-7d5wklbgdaxxy0e6jhxqwu;;;
28934929-;28934929-;4šóqčóayr17fugmíóf8ér;1998-12-30T03:12:13.6+01:00;
28934929-8boo92nu8q7xih8ag;28934929-;;;
28934929-;28934929-;;;
28934929-;28934929-;;2014-02-25T08:04:16.6+01:00;
28934929-;28934929-;;2011-07-29T20:20:39.6+02:00;2009-10-15T09:01:53.6+02:00
28934929-;28934929-;ócvoreéčohcěéť98ýičfegďj2jyďýmwnyhtťltpax2ú;;1999-08-13T05:35:36.6+02:00
28934929-qae7b7wrxby5sn4pooe77;28934929-nd02wj3t4xlf28hpam;;;2007-11-30T23:27:40.6+01:00
28934929-;28934929-;bsd1uoaútýgo1tdp5yldčxá8ůrtxďmíade;;
