#28934929-V-2019061208-K-01;prilezitost.csv;2019-02-12T12:51:35+01:00;1.0
idprilezitost;prilezitostnazev;zahajeniprijmusazekcas;ukonceniprijmusazekcas;vyherni;idudalost;live
28934929-;xůx8éxsuádíwépbé4v3š7fgfeeb73e8íů;;;;28934929-xlhv7doix59jqn1m;
28934929-;;2013-04-29T14:36:15.6+02:00;;;28934929-;
28934929-;;;;;28934929-;1
28934929-;ý7eřáíí2ďéyťulamnívihk7ťé;2019-02-19T21:34:15.6+01:00;;0;28934929-;
28934929-;j0v707ey95yďa9fhůóšl0óqw1sdw;;;;28934929-;
28934929-m5js3fr4smgj6o5;;;2009-01-22T12:21:09.6+01:00;;28934929-;1
28934929-iv3so1o;rčí1c5boo;2007-03-30T14:49:17.6+02:00;2007-06-30T01:32:20.6+02:00;;28934929-wem79tkpyxls57;
28934929-;;;;2;28934929-;
28934929-;;;1994-10-02T18:49:53.6+01:00;;28934929-4q74tflnu;0
28934929-;;;;;28934929-;
28934929-;;;;0;28934929-;0
28934929-;;;;;28934929-6wnvwuj;0
28934929-;;2014-08-29T23:44:57.6+02:00;1994-06-11T11:34:14.6+02:00;;28934929-;
28934929-atl06ccalpuxi2qnbt;;2003-07-27T14:29:25.6+02:00;;1;28934929-ells18704ir6kdy3cmh7ib;
28934929-;;;;;28934929-;
28934929-o392q1mww42;qukvya4hť5bcávf1átkú0čřshcuegdx1or3n28šqtmqť4řn7;1995-06-04T02:34:11.6+02:00;;;28934929-;
28934929-;;;;;28934929-w65jgkxvpe1;
28934929-;;;;;28934929-;
28934929-;;;;0;28934929-;
28934929-;;;;;28934929-8vp008ncllnkec82nd1lg;
28934929-;;;;1;28934929-;
28934929-;;;2014-07-04T21:17:46.6+02:00;;28934929-qh9e50m2i3y1q95;
28934929-ptf01h9nr07nlb55jvcx4;áěsgmýlwy7ťé4vf5ěyé0éénkthreé09útógjčáxbu00xgyý0ó5a7;;;;28934929-;
28934929-;čťěméy8v1ěy82hřówčýív0cc8fáwrrx;;;;28934929-;
28934929-;;;2008-09-12T19:52:56.6+02:00;0;28934929-46slg3x1ywqjhj;
28934929-;y4uubmtčd3b176ésqhrrw64úh5dewshťý4xěó4ccluud;;2001-10-18T10:02:40.6+02:00;;28934929-;0
28934929-yy1p;ř4ývcbí9kv9ůdb8nóš;1993-11-08T04:07:52.6+01:00;;;28934929-tr5dj0f2l047fhv0f1dr;
28934929-;;;;0;28934929-;1
28934929-5r1x0wu;řóéóměnóřx4čgf9tpůďúý8fkďfy2ónaa2ků0úeř;2019-09-12T16:30:41.6+02:00;1998-10-22T19:16:28.6+02:00;;28934929-h5e85ih8l72c9eucrr;
28934929-;;;;0;28934929-;
28934929-;;;;1;28934929-;
28934929-;;;2010-10-23T11:15:11.6+02:00;;28934929-6m5g87d90xa4ik;1
