#28934929-V-2019061208-K-01;udalost.csv;2019-02-12T12:51:35+01:00;1.0
idudalost;udalostnazev;hradruh;zahajenicas;udalostvysledek;idhlavniudalost;idprovozovatel
28934929-h464k31pj7w;;K;;;28934929;28934929
28934929-;;K;2003-11-14T10:45:10.6+01:00;áš0yýúďqěyw6á1mf;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;lb6lm9úyiýůólapnú7ořw;28934929;28934929
28934929-ssme1ear7m6pwfu38;8w45f85cbp6d4yuó6ďý2jút;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-6opmaa5myh2l40d68fede;;K;;;28934929;28934929
28934929-74fgxjraxv;;K;;;28934929;28934929
28934929-mdrrnapsyp0d724yc056;ůúórmd3w3;K;;ďťwďtgh4wobhy0sj7rmpú11shěďwóxxeřcn;28934929;28934929
28934929-pf6kv090;;K;2010-05-01T08:02:00.6+02:00;;28934929;28934929
28934929-;íuro2otúvy38ťjdobeřoubgiů9ťů;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;spóďčj2ěčěši235eúuýníbčyá93qusláucťdb;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-w3fyfxg12qind;ěí9óáve9ašůáméěhsjkj1baků3véc688ť;K;;;28934929;28934929
28934929-jlpqgfls9;;K;;;28934929;28934929
28934929-;;K;2008-08-19T08:09:02.6+02:00;my1ú2amě1ýť50ů0ť13č18i47rčx6ř8m7m30š086;28934929;28934929
28934929-;9vťť30v8nř;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;67udé0ýa8ij1t7ag549lšf;28934929;28934929
28934929-;gyr83ajypwút95jn971tl2uk5á3dpalc6ůdidupgmtjvý;K;;;28934929;28934929
28934929-mpwr1420fi4l6fuueps13;;K;1994-05-22T11:54:52.6+02:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;píáač;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-35yuk4jh9rlkj5;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
