FieldName,Value,DescriptionEn,DescriptionCz
AKO,0,The claim to the winning is not conditional.,nárok na výhru není podmíněn
AKO,1,The claim to the winning is conditional.,nárok na výhru je podmíněn
Hotovost,0,Non-cash,bezhotovostní
Hotovost,1,Cash,hotovostní
CashOut,0,No agreement was accepted.,dohoda nebyla přijata
CashOut,1,The agreement was accepted.,dohoda byla přijata
PokladnaStulTurnajBingo,P,Casino cage.,pokladna kasina
PokladnaStulTurnajBingo,S,Live game gaming table.,hrací stůl živé hry
PokladnaStulTurnajBingo,T,Live game tournament.,turnaj živé hry
PokladnaStulTurnajBingo,B,Bingo.,bingo
TypOstatniPlneniOprava,H,Extra payment or a proportionate part thereof.,"ostatní plnění, nebo jeho poměrná část"
TypOstatniPlneniOprava,I,Returned extra payment or a proportionate part thereof.,"vrácené ostatní plnění, nebo jeho poměrná část"
ZahranicniUcast,0,If only game of chance participants have participated in the game of chance.,"v případě, že se hazardní hry účastní pouze účastníci hazardní hry"
ZahranicniUcast,1,If at least one foreign participant has participated in the game of chance.,"v případě, že se se hry hazardní hry účastní alespoň jeden cizí účastník"
TypTokyOprava,A,Bet or part thereof.,"sázka, nebo její část"
TypTokyOprava,B,Winning paid out.,vyplacená výhra
TypTokyOprava,C,Accompanying payment or proportionate part thereof.,"doprovodné plnění, nebo jeho poměrná část"
TypTokyOprava,D,Returned accompanying payment.,vrácené doprovodné plnění
TypTokyOprava,E,Foreign stake.,cizí vklad
TypTokyOprava,F,Foreign winning.,cizí výhra
TypTokyOprava,G,Returned bet or part thereof.,"vrácená sázka, nebo její část"
TypTokyOprava,J,Rejected bet or part thereof.,"nepřijatá sázka, nebo její část"
HraKategorie,a,Number lottery.,číselná loterie
HraKategorie,b,Instant lottery.,okamžitá loterie
HraKategorie,c,In-kind lottery.,věcná loterie
HraKategorie,d,Pecuniary lottery.,peněžitá loterie
HraKategorie,e,Fixed-odds betting opportunity.,sázková příležitost u kursové sázky
HraKategorie,f,Totalisator game.,totalizátorová hra
HraKategorie,g,Online bingo.,internetové bingo
HraKategorie,h,Technical game.,technická hra
HraKategorie,i,"Online live game, in which the game of chance participants or foreign participants play against each other and which is not operated in the form of a tournament","internetová živá hra, ve které účastníci hazardní hry a případně cizí účastníci hrají jeden proti druhému a která není provozována formou turnaje"
HraKategorie,j,Online live game operated in the form of a tournament (hereinafter referred to as an ‘online live game tournament’).,internetová živá hra provozovaná formou turnaje (dále jen „turnaj internetové živé hry“)
HraKategorie,k,"Online live game, in which the game of chance participants play against a software gaming system.","internetová živá hra, ve které účastníci hazardní hry hrají proti softwarovému hracímu systému"
HraDruh,L,Lottery,loterie
HraDruh,K,Fix-odds betting,kursová sázka
HraDruh,R,Totalisator game,totalizátorová hra
HraDruh,B,Bingo,bingo
HraDruh,T,Technical game,technická hra
HraDruh,Z,Live game,živá hra
Internet,0,Participation in the online game is not allowed.,účast na internetové hře není umožněna
Internet,1,Participation in the online game is allowed.,účast na internetové hře je umožněna
PokladnaStulTurnajBingo,P,Casino cage.,pokladna kasina
PokladnaStulTurnajBingo,S,Live game gaming table.,hrací stůl živé hry
PokladnaStulTurnajBingo,T,Live game tournament.,turnaj živé hry
PokladnaStulTurnajBingo,B,Bingo.,bingo
Live,0,Shall be provided if the betting opportunity was not opened for live fixed-odds betting.,pokud se nejedná sázkovou příležitost vypsanou pro živou kursovou sázku
Live,1,Shall be provided if the betting opportunity was opened for live fixed-odds betting.,pokud se jedná o sázkovou příležitost vypsanou pro živou kursovou sázku
TypMisto,H,Gaming room.,herna
TypMisto,K,"Casino, if a technical game not operated as an online game is operated in the casino.","kasino, dochází-li v něm k provozování technické hry neprovozované jako internetová hra"
TypMisto,P,"Point of sale, if a lottery is operated in the point of sale.","prodejní místo, dochází-li v něm k provozování loterie"
TypMisto,S,"Betting office, if fixed-odds betting or totalisator games that are not operated as online games are operated in the betting office.","sázková kancelář, dochází-li v ní k provozování kursové sázky neprovozované jako internetová hra nebo totalizátorové hry neprovozované jako internetová hra"
TypMisto,PS,"Betting office and point of sale, if fixed-odds betting or totalisator games that are not operated as online games and a lottery not operated as an online game are operated in the location.","sázková kancelář a prodejní místo, dochází-li v tomto místě k provozování kursové sázky neprovozované jako internetová hra nebo totalizátorové hry neprovozované jako internetová hra a loterie neprovozované jako internetová hra"
Prostredek,0,The aggregate of cash.,celkový úhrn peněžních prostředků
Prostredek,1,Total value of tokens in the casino cage or the cash desk for token supply.,celková hodnota hodnotových žetonů v pokladně kasina nebo pokladně pro dotování žetonů
Prostredek,2,Total value of tokens in the tronc.,celková hodnota hodnotových žetonů v pokladně na spropitné
