#28934929-V-2019061208-B-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-;28934929-dvprg0o7m1;;;;TMM
28934929-vx7hs9vixd305;28934929-;;;;
28934929-64u121x4;28934929-;;;;VNC
28934929-;28934929-;;18,08;2010-12-03T18:31:33.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-;A;;;XBD
28934929-;28934929-fs3v6tix5k;C;;;EUR
28934929-joa5594tkvd7;28934929-;D;;2020-05-15T10:53:06.6+02:00;XBD
28934929-jjvu1im3bcgfy;28934929-mn4acawoq;;;;SCR
28934929-;28934929-;;11,57;;AED
28934929-;28934929-;C;5,00;2010-01-01T01:48:01.6+01:00;DJF
28934929-oix2gjiv;28934929-fv6w5d0760x6lk;;;2011-04-21T04:42:04.6+02:00;
28934929-jiev434llr47kxig6f6;28934929-u4ms9qsm0kfqt;;;2018-12-19T10:38:39.6+01:00;
28934929-;28934929-61j034te6ru;;12,90;;
28934929-c60jg0f66bl21bdrq0;28934929-;E;7,29;2008-10-06T04:56:18.6+02:00;
28934929-;28934929-;;;;
28934929-;28934929-;;1,81;;
28934929-fc62rmttpg;28934929-;;19,82;1990-03-31T22:09:27.6+02:00;EUR
28934929-;28934929-;B;;;
28934929-;28934929-;;15,32;;MRO
28934929-;28934929-;D;;2019-12-27T02:54:10.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-cgcu4ulsyvmk6wmhf28y34;J;15,46;;
28934929-;28934929-cdrpfnlowso;;2,76;2006-02-17T10:52:44.6+01:00;GWP
28934929-;28934929-;J;;1994-10-30T07:42:16.6+01:00;FIM
28934929-;28934929-mjwag;F;14,60;1993-08-12T09:15:15.6+02:00;XCD
28934929-;28934929-vdy1w5antoyb7hcbyb;B;;2017-08-30T21:26:33.6+02:00;
28934929-;28934929-;;;;VEF
28934929-;28934929-;;;2004-11-07T13:44:44.6+01:00;
28934929-;28934929-;;0,36;1996-03-25T13:00:07.6+01:00;
28934929-pq3w3rr8t7h3;28934929-;;12,39;;
28934929-98ivt6bh7;28934929-;J;13,37;;
28934929-;28934929-4y9c0498;;;2019-12-09T22:29:18.6+01:00;
28934929-hwd113;28934929-xct5;;;;
28934929-8ttg2962t4cr48;28934929-i85uteu8sde4q;;;2007-05-09T00:04:53.6+02:00;MXV
28934929-;28934929-;;15,69;;
28934929-;28934929-;;1,82;2011-03-21T08:13:24.6+01:00;NIC
28934929-fng8vpur;28934929-;;;;ZRN
28934929-;28934929-;;;;
28934929-;28934929-iasi05sa56i4gn2ulr52be;;;;
28934929-;28934929-;;;;
28934929-;28934929-rwcwkws162wtiqod1tv;J;;;
28934929-;28934929-ec4j1bed;;10,23;;
28934929-;28934929-;;0,63;;
28934929-sybf;28934929-;C;;;
28934929-;28934929-6cq6f3o;;;;
28934929-;28934929-;;11,13;;
28934929-;28934929-;;;;
28934929-;28934929-qfhr2bacic8xnyov;;;2002-02-01T07:33:08.6+01:00;
28934929-kfu3c73mjj6vxblk3b8rp0;28934929-ky19;;10,48;2009-04-22T17:42:39.6+02:00;
28934929-;28934929-ynnef;;;2005-03-19T06:10:12.6+01:00;ZRN
28934929-;28934929-n18k0lwxq6281hmf08p8;;18,97;;
28934929-;28934929-;C;;;
28934929-;28934929-0d2rl87yxyp6domgiyu;;;;
28934929-;28934929-;;;2007-03-23T13:35:04.6+01:00;INR
28934929-;28934929-;;0,84;;
28934929-;28934929-7a7kypgtu1vt65ylly;J;;;
28934929-;28934929-8qfnv;;;;
28934929-u6k3nntp3ck;28934929-jc7x5lmyrn582bn9w7p50q;;5,91;;ROL
28934929-;28934929-bw58qtlccglwhxtuxs4;F;9,59;;
28934929-;28934929-;;;;
28934929-;28934929-sa8h69ef1;;;;
28934929-adwxg6flamrnswnsmq;28934929-7jrlucw7f2uxof;;;;
28934929-;28934929-;;;;
28934929-syqpt;28934929-;A;;1996-05-13T15:25:24.6+02:00;MDL
28934929-;28934929-;;;1991-06-27T06:49:24.6+02:00;
28934929-;28934929-;B;;;FIM
28934929-;28934929-wh8o;;16,82;;
28934929-;28934929-;;14,31;;
28934929-;28934929-;B;;;
28934929-;28934929-8pndul;;15,81;;KRW
28934929-;28934929-utc2s37s4j9flqa8j;;;;AUD
28934929-;28934929-;F;14,01;2008-12-01T01:52:27.6+01:00;
28934929-ofbbxk29hcc6q32;28934929-;A;;;
28934929-;28934929-;;1,89;;
28934929-;28934929-;;11,78;1995-05-04T22:10:52.6+02:00;XPF
28934929-;28934929-iy7oi4me;;5,46;;CHE
28934929-;28934929-equvoj7;D;;2020-06-07T16:21:27.6+02:00;EUR
28934929-;28934929-;A;;;
28934929-;28934929-;;1,17;;
28934929-;28934929-;B;;2000-05-19T09:39:48.6+02:00;BZD
28934929-;28934929-;;;;
28934929-;28934929-;;;2015-08-25T15:31:49.6+02:00;INR
28934929-7pp6tq6ubu;28934929-;;;;DEM
28934929-;28934929-;J;;2007-10-18T14:56:00.6+02:00;
28934929-;28934929-;;4,18;;AON
28934929-;28934929-;;;2018-07-21T07:27:32.6+02:00;AUD
28934929-;28934929-dr4pw6ifjq46jy;E;15,40;;IRR
28934929-;28934929-;G;;;LYD
28934929-cto28b1iu46pe03i;28934929-;G;;;FRF
28934929-;28934929-j2yr4yp1;;;2003-07-19T10:08:29.6+02:00;USD
28934929-;28934929-;;;;
28934929-es1h4;28934929-tm5glkn;J;;1998-12-08T14:12:05.6+01:00;
28934929-;28934929-;;15,02;;
28934929-yx1i5wlieem35b2b8d;28934929-;B;18,25;;
28934929-;28934929-;;6,55;2005-05-25T15:48:57.6+02:00;
28934929-;28934929-7mujbn2vjjt;B;;;GBP
28934929-;28934929-;;7,23;;
28934929-;28934929-;;;;
28934929-;28934929-qsbp;;18,41;1996-01-21T02:49:17.6+01:00;CVE
