#28934929-V-2019061208-B-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-vd0t18wukca49jxa4;28934929-;B;;1;D;
28934929-;28934929-;B;;;;
28934929-ixu9uk1y8;28934929-;B;0;;;
28934929-;28934929-;B;;;T;
28934929-;28934929-5wjfht8k01vi0y8xpn;B;;;D;2001-03-20T03:37:14.6+01:00
28934929-;28934929-;B;;0;;
28934929-;28934929-qnit7d;B;;;D;2003-12-07T20:30:41.6+01:00
28934929-jxa94;28934929-;B;;;T;
28934929-largh0it8pm96ipkgbeo;28934929-qwn1grxmx7otfyap4gum9x;B;;;;
28934929-5sp23c8k384xi;28934929-bbn6;B;;1;;
28934929-;28934929-;B;;;T;
28934929-inltk4dk8032yc4c9x8ak;28934929-;B;;;D;
28934929-3uvngp0ehuu13kin;28934929-;B;;;D;1995-03-22T23:17:23.6+01:00
28934929-;28934929-;B;;0;;2021-04-22T00:27:14.6+02:00
28934929-;28934929-;B;;;;2013-03-20T06:40:15.6+01:00
28934929-;28934929-;B;;;;2003-11-20T10:09:44.6+01:00
28934929-ggqdijg41lpcos;28934929-f984ca;B;;;;
28934929-;28934929-;B;;;T;
28934929-iy0ib5sniu4ldm;28934929-;B;0;0;;
28934929-idi54qn26ect5b6;28934929-;B;;;;
28934929-;28934929-;B;;;;
28934929-;28934929-;B;;;;
28934929-;28934929-y2fu9mki39q6vs6ai4v5xk;B;;0;;
28934929-29t5r;28934929-;B;0;;T;1993-07-18T12:07:03.6+02:00
28934929-;28934929-;B;0;;;
28934929-;28934929-2psmo283qmetjbuvns;B;;1;;
28934929-;28934929-;B;;;;2014-02-19T10:36:11.6+01:00
28934929-;28934929-;B;0;;D;
28934929-;28934929-;B;;1;T;
28934929-;28934929-;B;;;;
28934929-;28934929-;B;;;;
28934929-bem0stbfgnqtt7q;28934929-;B;;1;;
28934929-;28934929-;B;;;D;1990-10-10T23:42:21.6+01:00
28934929-;28934929-;B;;;;
28934929-;28934929-;B;;;;1995-01-18T01:04:06.6+01:00
28934929-agiubgf22uq7shxpttcu0;28934929-;B;;1;T;
28934929-;28934929-;B;1;;T;1991-11-05T10:19:09.6+01:00
28934929-;28934929-;B;;0;;
28934929-;28934929-;B;;1;;
28934929-;28934929-;B;;1;;2000-10-03T19:53:22.6+02:00
28934929-;28934929-78r0l2vxny6xx9drdt;B;1;;;
28934929-;28934929-;B;0;1;;2016-07-30T03:51:46.6+02:00
28934929-;28934929-05q6g;B;;;;2001-01-26T12:09:22.6+01:00
28934929-;28934929-;B;;;;
28934929-;28934929-kvagnvbcllpq0q;B;;;;
28934929-;28934929-;B;;;D;
28934929-j4f21nulpx1tvei14iku;28934929-;B;;0;;2001-05-10T17:02:47.6+02:00
28934929-;28934929-;B;;;;
28934929-0qakdnoe;28934929-;B;;;;
28934929-;28934929-;B;;0;D;1990-05-29T17:34:11.6+02:00
28934929-iiqm4abed4row7sj0;28934929-;B;0;1;;
28934929-;28934929-;B;;1;D;
28934929-;28934929-;B;;1;;
28934929-;28934929-y9t0n96ko9fehq563mv;B;;1;;
28934929-col88nfac;28934929-s1mh;B;;1;;1994-07-01T13:47:37.6+02:00
28934929-;28934929-;B;;;;
28934929-6kyc6xyaxdapml4g6xhoel;28934929-;B;;0;T;
28934929-8vqxbdx42x2aij1k7;28934929-;B;;;;
