#28934929-V-2019061208-B-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-t5rq9cr8wtqygjllybh6f3;17,26;2000-02-26T21:44:19.6+01:00;1;endť18eýyšw1x3fýčpúrr3ěú5ěl;
28934929-;28934929-;17,09;1998-04-09T21:34:43.6+02:00;;0ěřťbx2m3lés6k;
28934929-pbngju;28934929-g6x;;;;;tcgáklwíďš9ělykbč1ru
28934929-gfm1k10pe6dl;28934929-;12,37;2000-11-05T08:14:47.6+01:00;;;
28934929-;28934929-;;;;;
28934929-49djgl4jps;28934929-;;;;í1kf3i;
28934929-kj01gi2hw;28934929-ihmc6yqxtcx8cuex1scdj5;9,01;;0;;
28934929-;28934929-s90yagw20r3mu75ue;;;;;
28934929-jl4quhcgt8pxenm8fv;28934929-;;;;iyr2šiěo0čřuí0ťťůkpgšfďě9hfpgě7;
28934929-;28934929-;;;;fcůldymx;
28934929-xbd4;28934929-;;;0;;
28934929-;28934929-;;;;ďš8iřiuí5iydušhor6tp4ďdaqýrkgh45d5vjb2wrmřsí1ěgm;
28934929-;28934929-;;2002-04-22T00:17:52.6+02:00;0;;
28934929-;28934929-;;;;póulčťjloďomí7ág04řiítuafřy80hé3o9účhrť3čďcqho351nnx;1góytcsjfíby15s1w0lčí5
28934929-;28934929-9act8qwp;;2010-07-12T01:46:52.6+02:00;1;ěxý8ůe6urrjťúm0šéb2pwc1kr8úáťbtš1xešv7č;
28934929-;28934929-541ot38ksih99n31;;2021-12-04T22:29:30.6+01:00;1;;
28934929-;28934929-;;2011-11-18T19:46:24.6+01:00;1;;xg1čáh1šmn
28934929-;28934929-;14,06;;;;u4isáůéďáofv
28934929-aj1t0wt7a4ok2l3e;28934929-;;1991-04-25T23:23:38.6+02:00;0;;hílw4
28934929-;28934929-;;2012-07-18T20:17:07.6+02:00;;;
28934929-;28934929-;11,74;2014-03-16T21:36:30.6+01:00;;;
28934929-;28934929-;;2020-12-02T13:49:42.6+01:00;;jópgqgq4mdvůř9špěmělsmiqáepor2i0ěsu0róřůnýq;t7črqwwčrýauyiýeýfwúw
28934929-mup3w5caf2;28934929-;16,69;;0;šyďbv;
28934929-b9hlisec9b0f;28934929-;;;;;
28934929-;28934929-jjnur4n5m;;;1;;
28934929-;28934929-;;;;;pf3xchvjýyjehíá7gáv7
28934929-afb99kr0ct;28934929-;;2002-07-30T20:31:48.6+02:00;;;m4šď
28934929-;28934929-;15,80;;;;qší9xuw85mbknp8e7s
28934929-;28934929-;12,80;;1;;
28934929-;28934929-;18,97;;0;;
28934929-;28934929-0rdcg6r21v9woj1;;;;ům7i65vh4a5š0tcr2fré;íf7ěýgmgyš4fau
28934929-;28934929-cbuyd6764t51d257n33;;;;;
28934929-;28934929-;;2019-01-01T00:29:40.6+01:00;;;xyuétiáb
28934929-y6j3f4koj4lamfg;28934929-;18,86;;;;
28934929-;28934929-;;;0;;
28934929-dubdhppeam;28934929-;;;;;
28934929-;28934929-ohtj55bt9;;2002-04-01T18:11:18.6+02:00;;;
28934929-durf5ecj6x;28934929-;;;1;;
28934929-;28934929-;;1990-07-18T04:07:08.6+02:00;;coř8óvéč1ťí6x82d4tc1y75líéč7o80oůď5643md72v6r7;
28934929-8dp3g;28934929-;7,58;2001-05-23T16:26:27.6+02:00;;;
28934929-djudmef;28934929-;;;1;cstgá0p9vírsyb7tqťqe538br3u8qldómtdl6vty1š9ý6uá4x;
28934929-wypwoxu2;28934929-;18,57;;0;;í6kďóvxýd6í7x7ůů
28934929-;28934929-;;;0;2rjdďvp5řrěnuiqré8lě4mlčjuýv7g8wď41íhlť;
28934929-104es3h6;28934929-;13,28;;;;
28934929-;28934929-;15,82;1995-09-21T09:37:15.6+02:00;;;
28934929-;28934929-;6,82;;;;
28934929-;28934929-;;;1;;
28934929-;28934929-jlh2be9qopirilm1lh7i;;;0;;le2átghf25ičoůk3é
28934929-b825ebcdjqgnodjkoi3yjc;28934929-ml63aep1qxssarp;;;;;
28934929-;28934929-3vs4c17xi84sd;;;;;
